# Generated by cmd/dp-string-census (make string-census-update). Do not edit by hand.
# C player-facing segments no Go segment contains (port gaps).
# columns: segment	file:line	sink	function
is here, fighting	src/act.informative.c:585	buffered:strcat	list_one_char
someone who has already left	src/act.informative.c:593	buffered:strcat	list_one_char
is here struggling with thin air.	src/act.informative.c:598	buffered:strcat	list_one_char
(Red Aura)	src/act.informative.c:604	buffered:strcat	list_one_char
(Blue Aura)	src/act.informative.c:606	buffered:strcat	list_one_char
is surrounded by a black aura!	src/act.informative.c:617	act	list_one_char
glows with a bright light!	src/act.informative.c:619	act	list_one_char
is surrounded by a glowing sphere!	src/act.informative.c:622	act	list_one_char
is engulfed in flames!	src/act.informative.c:625	act	list_one_char
You sense a hidden presence in the room.	src/act.informative.c:642	send_to_char	list_char_to_char
You see a pair of glowing	src/act.informative.c:646	send_to_char	list_char_to_char
eyes looking your way.	src/act.informative.c:650	send_to_char	list_char_to_char
[ Exits:	src/act.informative.c:676	buffered:sprintf	do_auto_exits
Too dark to tell	src/act.informative.c:706	buffered:strcat	do_exits
Obvious exits:	src/act.informative.c:715	send_to_char	do_exits
Darkness	src/act.informative.c:737	send_to_char	look_at_room
You see nothing but infinite darkness...	src/act.informative.c:739	send_to_char	look_at_room
Darkness	src/act.informative.c:743	send_to_char	look_at_room
It is too dark here to see much of anything...	src/act.informative.c:745	send_to_char	look_at_room
You see a pair of glowing red eyes.	src/act.informative.c:755	send_to_char	look_at_room
[ Inside ]	src/act.informative.c:773	buffered:sprintf	look_at_room
[ City ]	src/act.informative.c:775	buffered:sprintf	look_at_room
[ Field ]	src/act.informative.c:777	buffered:sprintf	look_at_room
[ Forest ]	src/act.informative.c:779	buffered:sprintf	look_at_room
[ Hills ]	src/act.informative.c:781	buffered:sprintf	look_at_room
[ Mountain ]	src/act.informative.c:783	buffered:sprintf	look_at_room
[ Water Swim ]	src/act.informative.c:785	buffered:sprintf	look_at_room
[ Water Noswim ]	src/act.informative.c:787	buffered:sprintf	look_at_room
[ Underwater ]	src/act.informative.c:789	buffered:sprintf	look_at_room
[ Flying ]	src/act.informative.c:791	buffered:sprintf	look_at_room
[ Desert ]	src/act.informative.c:793	buffered:sprintf	look_at_room
[ Fire ]	src/act.informative.c:795	buffered:sprintf	look_at_room
[ Earth ]	src/act.informative.c:797	buffered:sprintf	look_at_room
[ Wind ]	src/act.informative.c:799	buffered:sprintf	look_at_room
[ Water ]	src/act.informative.c:801	buffered:sprintf	look_at_room
[ Unknown ]	src/act.informative.c:803	buffered:sprintf	look_at_room
You're a little busy right now!	src/act.informative.c:847	send_to_char	look_in_direction
You look	src/act.informative.c:851	buffered:sprintf	look_in_direction
is closed.	src/act.informative.c:866	buffered:sprintf	look_in_direction
is open.	src/act.informative.c:877	buffered:sprintf	look_in_direction
You see nothing special.	src/act.informative.c:885	send_to_char	look_in_direction
You see nothing special.	src/act.informative.c:908	send_to_char	look_in_direction
Look in what?	src/act.informative.c:923	send_to_char	look_in_obj
There's nothing inside that!	src/act.informative.c:933	send_to_char	look_in_obj
It is closed.	src/act.informative.c:939	send_to_char	look_in_obj
(carried):	src/act.informative.c:946	send_to_char	look_in_obj
Its contents seem somewhat murky.	src/act.informative.c:971	buffered:sprintf	look_in_obj
full of a	src/act.informative.c:976	buffered:sprintf	look_in_obj
Look at what?	src/act.informative.c:1014	send_to_char	look_at_target
You do not see that here.	src/act.informative.c:1074	send_to_char	look_at_target
Read what?	src/act.informative.c:1118	send_to_char	do_look
Examine what?	src/act.informative.c:1147	send_to_char	do_examine
When you look inside, you see:	src/act.informative.c:1161	send_to_char	do_examine
(It's your birthday today.)	src/act.informative.c:1188	buffered:strcat	do_score
) Movement points:	src/act.informative.c:1193	buffered:sprintf	do_score
Hit points:	src/act.informative.c:1193	buffered:sprintf	do_score
Mind/Psi	src/act.informative.c:1197	buffered:sprintf	do_score
You are the Epitome of Righteousness!	src/act.informative.c:1205	buffered:strcpy	do_score
You're so good, you make the angels jealous.	src/act.informative.c:1207	buffered:strcpy	do_score
You are feeling pretty righteous.	src/act.informative.c:1209	buffered:strcpy	do_score
You are aligned with the path of right.	src/act.informative.c:1211	buffered:strcpy	do_score
You are feeling pretty good today.	src/act.informative.c:1213	buffered:strcpy	do_score
You are a little more good than neutral, but yet still bland.	src/act.informative.c:1215	buffered:strcpy	do_score
You are neutral, how boring.	src/act.informative.c:1217	buffered:strcpy	do_score
You are little more evil than neutral, but not very exciting.	src/act.informative.c:1219	buffered:strcpy	do_score
I actually think you would kill your own mother.	src/act.informative.c:1221	buffered:strcpy	do_score
You are so evil it hurts.	src/act.informative.c:1223	buffered:strcpy	do_score
Charles Manson is in your fan club.	src/act.informative.c:1225	buffered:strcpy	do_score
You are the Epitome of Evil!	src/act.informative.c:1227	buffered:strcpy	do_score
are naked, have you no shame?	src/act.informative.c:1232	buffered:strcat	do_score
are lightly clothed.	src/act.informative.c:1234	buffered:strcat	do_score
are pretty well clothed.	src/act.informative.c:1236	buffered:strcat	do_score
are lightly armored.	src/act.informative.c:1238	buffered:strcat	do_score
are well armored.	src/act.informative.c:1240	buffered:strcat	do_score
are getting pretty sweaty with all that armor on.	src/act.informative.c:1242	buffered:strcat	do_score
are very well armored.	src/act.informative.c:1244	buffered:strcat	do_score
are extremely well armored	src/act.informative.c:1246	buffered:strcat	do_score
are decked out in full battle armor.	src/act.informative.c:1248	buffered:strcat	do_score
are armored like a wyvern!	src/act.informative.c:1250	buffered:strcat	do_score
are armored like a dragon!	src/act.informative.c:1252	buffered:strcat	do_score
could walk through the gates of Hell in all that armor!	src/act.informative.c:1254	buffered:strcat	do_score
are armored like a god!	src/act.informative.c:1257	buffered:strcat	do_score
Experience:	src/act.informative.c:1261	buffered:sprintf	do_score
Coins carried:	src/act.informative.c:1263	buffered:sprintf	do_score
gold coins	src/act.informative.c:1263	buffered:sprintf	do_score
Coins in bank:	src/act.informative.c:1265	buffered:sprintf	do_score
gold coins	src/act.informative.c:1265	buffered:sprintf	do_score
You need	src/act.informative.c:1273	buffered:sprintf	do_score
exp to reach your next level.	src/act.informative.c:1273	buffered:sprintf	do_score
You have been playing for	src/act.informative.c:1278	buffered:sprintf	do_score
days and	src/act.informative.c:1278	buffered:sprintf	do_score
You are a veteran of many battles.	src/act.informative.c:1282	buffered:sprintf	do_score
You are a citizen of	src/act.informative.c:1284	buffered:sprintf	do_score
You are a	src/act.informative.c:1289	buffered:sprintf	do_score
This ranks you as	src/act.informative.c:1292	buffered:sprintf	do_score
Your pack is light.	src/act.informative.c:1308	buffered:strcat	do_score
Your pack is fairly light.	src/act.informative.c:1310	buffered:strcat	do_score
Your pack is fairly heavy.	src/act.informative.c:1312	buffered:strcat	do_score
Your pack is heavy.	src/act.informative.c:1314	buffered:strcat	do_score
Your pack is almost too heavy to lift.	src/act.informative.c:1316	buffered:strcat	do_score
You are a chosen of the gods.(BadMuthaFucker)	src/act.informative.c:1320	buffered:strcat	do_score
You are DEAD!(Tell a god)	src/act.informative.c:1325	buffered:strcat	do_score
You are mortally wounded! You should seek help!	src/act.informative.c:1328	buffered:strcat	do_score
You are incapacitated, slowly fading away...	src/act.informative.c:1331	buffered:strcat	do_score
You are sleeping.	src/act.informative.c:1337	buffered:strcat	do_score
You are resting.	src/act.informative.c:1340	buffered:strcat	do_score
You are sitting.	src/act.informative.c:1343	buffered:strcat	do_score
You are fighting	src/act.informative.c:1347	buffered:sprintf	do_score
You are fighting thin air.	src/act.informative.c:1349	buffered:strcat	do_score
You are standing.	src/act.informative.c:1352	buffered:strcat	do_score
You are floating.	src/act.informative.c:1355	buffered:strcat	do_score
You are intoxicated.	src/act.informative.c:1360	buffered:strcat	do_score
You are hungry.	src/act.informative.c:1363	buffered:strcat	do_score
You are thirsty.	src/act.informative.c:1366	buffered:strcat	do_score
You have been blinded!	src/act.informative.c:1369	buffered:strcat	do_score
You are summonable by other players.	src/act.informative.c:1372	buffered:strcat	do_score
You're a lycanthrope!	src/act.informative.c:1375	buffered:strcat	do_score
You're a vampire!	src/act.informative.c:1378	buffered:strcat	do_score
You're mounted.	src/act.informative.c:1381	buffered:strcat	do_score
Your hand is a	src/act.informative.c:1386	buffered:sprintf	do_score
Spells affecting you:	src/act.informative.c:1395	buffered:strcpy	do_score
Equipment spells affecting you:	src/act.informative.c:1416	buffered:strcpy	do_score
You are carrying:	src/act.informative.c:1462	send_to_char	do_inventory
You are using:	src/act.informative.c:1474	send_to_char	do_equipment
Something.	src/act.informative.c:1488	send_to_char	do_equipment
Nothing.	src/act.informative.c:1494	send_to_char	do_equipment
Day of the	src/act.informative.c:1536	buffered:sprintf	do_time
The moon is	src/act.informative.c:1540	buffered:sprintf	do_time
The sky is	src/act.informative.c:1556	buffered:sprintf	do_weather
you feel a warm wind from south	src/act.informative.c:1557	buffered:sprintf	do_weather
the clouds tell you bad weather is due	src/act.informative.c:1558	buffered:sprintf	do_weather
You have no feeling about the weather at all.	src/act.informative.c:1562	send_to_char	do_weather
attempted to get help on	src/act.informative.c:1608	buffered:sprintf	do_help
[ *IMP* ]	src/act.informative.c:1779	buffered:sprintf	do_who
[ GRGOD ]	src/act.informative.c:1786	buffered:sprintf	do_who
[ HIGOD ]	src/act.informative.c:1793	buffered:sprintf	do_who
[ LEGEND ]	src/act.informative.c:1800	buffered:sprintf	do_who
[ TITAN ]	src/act.informative.c:1814	buffered:sprintf	do_who
[ IMMORT ]	src/act.informative.c:1821	buffered:sprintf	do_who
&r[ Wizard ]	src/act.informative.c:1840	buffered:sprintf	do_who
&y[ Chosen ]	src/act.informative.c:1870	buffered:sprintf	do_who
(mailing)	src/act.informative.c:1886	buffered:strcat	do_who
(writing)	src/act.informative.c:1888	buffered:strcat	do_who
(out of body)	src/act.informative.c:1891	buffered:strcat	do_who
(Object Edit)	src/act.informative.c:1894	buffered:strcat	do_who
(Mobile Edit)	src/act.informative.c:1896	buffered:strcat	do_who
(Zone Edit)	src/act.informative.c:1898	buffered:strcat	do_who
(Shop Edit)	src/act.informative.c:1900	buffered:strcat	do_who
(Room Edit)	src/act.informative.c:1902	buffered:strcat	do_who
(Text Edit)	src/act.informative.c:1904	buffered:strcat	do_who
(notell)	src/act.informative.c:1909	buffered:strcat	do_who
(INACTIVE)	src/act.informative.c:1915	buffered:strcat	do_who
(OUTLAW)	src/act.informative.c:1919	buffered:strcat	do_who
No-one at all!	src/act.informative.c:1930	buffered:sprintf	do_who
One character displayed.	src/act.informative.c:1932	buffered:sprintf	do_who
characters displayed.	src/act.informative.c:1934	buffered:sprintf	do_who
Num Class Name State Idl Login@ Site	src/act.informative.c:2018	buffered:strcpy	do_users
--- ------- ------------ -------------- --- -------- ------------------------	src/act.informative.c:2020	buffered:strcat	do_users
Switched	src/act.informative.c:2066	buffered:strcpy	do_users
UNDEFINED	src/act.informative.c:2090	buffered:sprintf	do_users
[Hostname unknown]	src/act.informative.c:2096	buffered:strcat	do_users
visible sockets connected.	src/act.informative.c:2110	buffered:sprintf	do_users
Compile Time:	src/act.informative.c:2173	buffered:sprintf	do_gen_ps
A list of registered players:	src/act.informative.c:2182	send_to_char	do_gen_ps
carried by	src/act.informative.c:2220	buffered:sprintf	print_object_location
, which is	src/act.informative.c:2231	buffered:sprintf	print_object_location
in an unknown location	src/act.informative.c:2237	buffered:sprintf	print_object_location
Consider killing who?	src/act.informative.c:2343	send_to_char	do_consider
Easy! Very easy indeed!	src/act.informative.c:2348	send_to_char	do_consider
could eat you for lunch,	src/act.informative.c:2386	buffered:strcpy	do_consider
could tear you up in a fight,	src/act.informative.c:2388	buffered:strcpy	do_consider
could hurt you in a fight,	src/act.informative.c:2390	buffered:strcpy	do_consider
might not even be worth the effort to kill,	src/act.informative.c:2398	buffered:strcpy	do_consider
in much better physical shape than you,	src/act.informative.c:2401	buffered:strcat	do_consider
looks to be	src/act.informative.c:2401	buffered:strcat	do_consider
in a lot better physical shape than you,	src/act.informative.c:2403	buffered:strcat	do_consider
looks to be	src/act.informative.c:2403	buffered:strcat	do_consider
in better physical shape than you,	src/act.informative.c:2405	buffered:strcat	do_consider
looks to be	src/act.informative.c:2405	buffered:strcat	do_consider
in about the same physical shape as you,	src/act.informative.c:2407	buffered:strcat	do_consider
looks to be	src/act.informative.c:2407	buffered:strcat	do_consider
in a little worse physical shape as you,	src/act.informative.c:2409	buffered:strcat	do_consider
looks to be	src/act.informative.c:2409	buffered:strcat	do_consider
in a worse physical shape than you,	src/act.informative.c:2411	buffered:strcat	do_consider
looks to be	src/act.informative.c:2411	buffered:strcat	do_consider
in a lot worse physical shape than you,	src/act.informative.c:2413	buffered:strcat	do_consider
looks to be	src/act.informative.c:2413	buffered:strcat	do_consider
and moves with an ease telling	src/act.informative.c:2416	buffered:strcat	do_consider
of many won battles.	src/act.informative.c:2416	buffered:strcat	do_consider
and seems to know	src/act.informative.c:2418	buffered:strcat	do_consider
opponent.	src/act.informative.c:2418	buffered:strcat	do_consider
and seems about as confident in	src/act.informative.c:2420	buffered:strcat	do_consider
battle as you do.	src/act.informative.c:2420	buffered:strcat	do_consider
and seems less confident in	src/act.informative.c:2422	buffered:strcat	do_consider
battle than you do.	src/act.informative.c:2422	buffered:strcat	do_consider
and seems much less confident in	src/act.informative.c:2424	buffered:strcat	do_consider
battle than you do.	src/act.informative.c:2424	buffered:strcat	do_consider
and seems ready to run from a	src/act.informative.c:2426	buffered:strcat	do_consider
's never been	src/act.informative.c:2428	buffered:strcat	do_consider
and seems like	src/act.informative.c:2428	buffered:strcat	do_consider
in battle before.	src/act.informative.c:2428	buffered:strcat	do_consider
Diagnose who?	src/act.informative.c:2454	send_to_char	do_diagnose
The following	src/act.informative.c:2663	buffered:sprintf	do_commands
are available to	src/act.informative.c:2663	buffered:sprintf	do_commands
privileged	src/act.informative.c:2664	buffered:sprintf	do_commands
commands	src/act.informative.c:2665	buffered:sprintf	do_commands
([M]age, [C]leric, [T]hief, [W]arrior, Ps[i]onic, [N]inja,	src/act.informative.c:2699	send_to_char	do_skills
A[s]sassin, M[a]gus, A[v]atar, [P]aladin)	src/act.informative.c:2699	send_to_char	do_skills
Usage: skills <class abbrev>	src/act.informative.c:2699	send_to_char	do_skills
([M]age, [C]leric, [T]hief, [W]arrior, Ps[i]onic, [N]inja,	src/act.informative.c:2708	send_to_char	do_skills
A[s]sassin, M[a]gus, A[v]atar, [P]aladin)	src/act.informative.c:2708	send_to_char	do_skills
That's not a valid class.	src/act.informative.c:2708	send_to_char	do_skills
Usage: skills <class-abbrev>	src/act.informative.c:2708	send_to_char	do_skills
Skills/Spells for the class '	src/act.informative.c:2716	buffered:sprintf	do_skills
won't fit in	src/act.item.c:56	act	perform_put
is not a container.	src/act.item.c:109	act	do_put
: you can't carry that many items.	src/act.item.c:162	act	can_take_obj
: you can't take that!	src/act.item.c:172	act	can_take_obj
: you can't hold any more items.	src/act.item.c:203	act	perform_get_from_container
is closed.	src/act.item.c:228	act	get_from_container
seems to be empty.	src/act.item.c:259	act	get_from_container
is not a container.	src/act.item.c:376	act	do_get
is not a container.	src/act.item.c:398	act	do_get
is not a container.	src/act.item.c:411	act	do_get
suddenly appears in a puff of orange smoke!	src/act.item.c:453	act	perform_drop_gold
, it must be CURSED!	src/act.item.c:488	buffered:sprintf	perform_drop
suddenly appears in a puff a smoke!	src/act.item.c:511	act	perform_drop
hands full.	src/act.item.c:687	act	perform_give
seems to have	src/act.item.c:687	act	perform_give
, it must be CURSED!	src/act.item.c:1720	act	perform_remove
: you can't carry that many items!	src/act.item.c:1722	act	perform_remove
You stop using	src/act.item.c:1726	act	perform_remove
You're in no position to go ANYWHERE!	src/act.movement.c:150	send_to_char	do_simple_move
You are too exhausted to carry your rider further.	src/act.movement.c:157	send_to_char	do_simple_move
You are too exhausted to carry your rider further.	src/act.movement.c:167	send_to_char	do_simple_move
flies in from the	src/act.movement.c:232	buffered:sprintf	do_simple_move
swims in from the	src/act.movement.c:234	buffered:sprintf	do_simple_move
rides in from the	src/act.movement.c:236	buffered:sprintf	do_simple_move
arrives from the	src/act.movement.c:238	buffered:sprintf	do_simple_move
skillfully picks the lock on	src/act.movement.c:509	buffered:strcpy	do_doorcmd
You are already standing.	src/act.movement.c:703	act	do_stand
You stand up.	src/act.movement.c:708	act	do_stand
You stop resting, and stand up.	src/act.movement.c:713	act	do_stand
You have to wake up first!	src/act.movement.c:718	act	do_stand
Do you not consider fighting as standing?	src/act.movement.c:721	act	do_stand
You sit down.	src/act.movement.c:740	act	do_sit
sits down.	src/act.movement.c:741	act	do_sit
You're sitting already.	src/act.movement.c:748	send_to_char	do_sit
You stop resting, and sit up.	src/act.movement.c:751	act	do_sit
stops resting.	src/act.movement.c:752	act	do_sit
You have to wake up first.	src/act.movement.c:756	act	do_sit
Sit down while fighting? are you MAD?	src/act.movement.c:759	act	do_sit
You stop floating around, and sit down.	src/act.movement.c:762	act	do_sit
stops floating around, and sits down.	src/act.movement.c:763	act	do_sit
You sit down and rest your tired bones.	src/act.movement.c:776	act	do_rest
sits down and rests.	src/act.movement.c:778	act	do_rest
You rest your tired bones.	src/act.movement.c:785	act	do_rest
You are already resting.	src/act.movement.c:790	act	do_rest
You have to wake up first.	src/act.movement.c:793	act	do_rest
Rest while fighting? Are you MAD?	src/act.movement.c:796	act	do_rest
You stop floating around, and stop to rest your tired bones.	src/act.movement.c:799	act	do_rest
stops floating around, and rests.	src/act.movement.c:801	act	do_rest
You go to sleep.	src/act.movement.c:820	send_to_char	do_sleep
lies down and falls asleep.	src/act.movement.c:821	act	do_sleep
You are already sound asleep.	src/act.movement.c:825	send_to_char	do_sleep
Sleep while fighting? Are you MAD?	src/act.movement.c:828	send_to_char	do_sleep
You stop floating around, and lie down to sleep.	src/act.movement.c:831	act	do_sleep
stops floating around, and lie down to sleep.	src/act.movement.c:833	act	do_sleep
You hit yourself...OUCH!.	src/act.offensive.c:114	send_to_char	do_hit
self, and says OUCH!	src/act.offensive.c:115	act	do_hit
is just such a good friend, you simply can't hit	src/act.offensive.c:118	act	do_hit
You chop	src/act.offensive.c:156	act	do_kill
to pieces! Ah! The blood!	src/act.offensive.c:156	act	do_kill
chops you to pieces!	src/act.offensive.c:158	act	do_kill
brutally slays	src/act.offensive.c:159	act	do_kill
You have no idea how.	src/act.offensive.c:174	send_to_char	do_backstab
Backstab who?	src/act.offensive.c:181	send_to_char	do_backstab
How can you sneak up on yourself?	src/act.offensive.c:186	send_to_char	do_backstab
You need to wield a weapon to make it a success.	src/act.offensive.c:191	send_to_char	do_backstab
Only piercing weapons can be used for backstabbing.	src/act.offensive.c:196	send_to_char	do_backstab
You notice	src/act.offensive.c:214	act	do_backstab
lunging at you!	src/act.offensive.c:214	act	do_backstab
notices you lunging at	src/act.offensive.c:215	act	do_backstab
lunging at	src/act.offensive.c:216	act	do_backstab
You have no idea how.	src/act.offensive.c:243	send_to_char	do_disembowel
Disembowel who?	src/act.offensive.c:254	send_to_char	do_disembowel
Nah. Hari Kari is for wimps.	src/act.offensive.c:260	send_to_char	do_disembowel
You need to wield a weapon to make it a success.	src/act.offensive.c:265	send_to_char	do_disembowel
Only piercing weapons can be used for disemboweling.	src/act.offensive.c:270	send_to_char	do_disembowel
orders you to '	src/act.offensive.c:323	buffered:sprintf	do_order
an order.	src/act.offensive.c:325	act	do_order
has an indifferent look.	src/act.offensive.c:328	act	do_order
issues the order '	src/act.offensive.c:337	buffered:sprintf	do_order
panics, and attempts to flee!	src/act.offensive.c:397	act	do_flee
tries to flee, but can't!	src/act.offensive.c:410	act	do_flee
You'd better leave all the martial arts to fighters.	src/act.offensive.c:429	send_to_char	do_bash
Bash who?	src/act.offensive.c:446	send_to_char	do_bash
Aren't we funny today...	src/act.offensive.c:452	send_to_char	do_bash
You haven't the energy!	src/act.offensive.c:469	send_to_char	do_bash
But only true warriors can do this!	src/act.offensive.c:510	send_to_char	do_rescue
What about fleeing instead?	src/act.offensive.c:522	send_to_char	do_rescue
How can you rescue someone you are trying to kill?	src/act.offensive.c:527	send_to_char	do_rescue
You fail the rescue!	src/act.offensive.c:558	send_to_char	do_rescue
Banzai! To the rescue...	src/act.offensive.c:563	send_to_char	do_rescue
, you are confused!	src/act.offensive.c:564	act	do_rescue
You'd better leave all the martial arts to fighters.	src/act.offensive.c:594	send_to_char	do_kick
Kick who?	src/act.offensive.c:606	send_to_char	do_kick
Aren't we funny today...	src/act.offensive.c:612	send_to_char	do_kick
What's that, idiot-san?	src/act.offensive.c:644	send_to_char	do_dragon_kick
Kick who?	src/act.offensive.c:655	send_to_char	do_dragon_kick
Aren't we funny today...	src/act.offensive.c:661	send_to_char	do_dragon_kick
You're too exhausted!	src/act.offensive.c:672	send_to_char	do_dragon_kick
What's that, idiot-san?	src/act.offensive.c:700	send_to_char	do_tiger_punch
That's pretty tough to do while wielding a weapon.	src/act.offensive.c:705	send_to_char	do_tiger_punch
Aren't we funny today...	src/act.offensive.c:723	send_to_char	do_tiger_punch
You have no idea how.	src/act.offensive.c:761	send_to_char	do_shoot
But you are already engaged in close-range combat!	src/act.offensive.c:768	send_to_char	do_shoot
Shoot what where?	src/act.offensive.c:778	send_to_char	do_shoot
Where would you like to shoot it?	src/act.offensive.c:783	send_to_char	do_shoot
Who would you like to shoot it at in that direction?	src/act.offensive.c:788	send_to_char	do_shoot
You do not seem to have	src/act.offensive.c:804	buffered:sprintf	do_shoot
is not a projectile!	src/act.offensive.c:811	act	do_shoot
