# Generated by cmd/dp-string-census (make string-census-update). Do not edit by hand.
# Go sink arguments whose value the extractor could not resolve to literals.
# Leads for tightening the sink table, not ratchet failures.
# columns: expression	file:line	sink
arg	pkg/game/comm_channel.go:211	sendToChar
arg	pkg/game/comm_channel.go:223	sendToChar
levelString	pkg/game/comm_channel.go:298	sendToChar
senderName	pkg/game/comm_channel.go:314	.SendMessage
arg	pkg/game/comm_say.go:67	.SendMessage
arg	pkg/game/comm_say.go:69	.SendMessage
verb	pkg/game/comm_say.go:75	.SendMessage
target	pkg/game/consider.go:61	Act
damdiff	pkg/game/consider.go:61	Act
attackerName	pkg/game/damage_stubs.go:256	.SendMessage
player	pkg/game/death.go:155	Act
lootedNames	pkg/game/death.go:464	.SendMessage
deadMob	pkg/game/death.go:481	.SendMessage
expLoss	pkg/game/death.go:667	.SendMessage
conLossMessage	pkg/game/death.go:670	.SendMessage
victimName	pkg/game/death.go:1206	.SendMessage
roomVerb	pkg/game/directed_speech.go:126	.channelAct
actorVerb	pkg/game/directed_speech.go:131	.channelSend
targetName	pkg/game/directed_speech.go:237	Act
targetName	pkg/game/directed_speech.go:241	Act
targetName	pkg/game/directed_speech.go:245	Act
target	pkg/game/directed_speech.go:249	communicationSend
target	pkg/game/directed_speech.go:299	Act
target	pkg/game/directed_speech.go:303	Act
target	pkg/game/directed_speech.go:307	communicationSend
message	pkg/game/directed_speech.go:315	.channelAct
message	pkg/game/directed_speech.go:322	.channelAct
actionSing	pkg/game/directed_speech.go:342	communicationSend
victim	pkg/game/directed_speech.go:367	Act
actionPlur	pkg/game/directed_speech.go:367	Act
victim	pkg/game/directed_speech.go:371	Act
actionSing	pkg/game/directed_speech.go:371	Act
victim	pkg/game/directed_speech.go:373	Act
actionOthers	pkg/game/directed_speech.go:373	Act
entry	pkg/game/dns.go:65	.SendMessage
leaderName	pkg/game/follow.go:121	Act
leaderName	pkg/game/follow.go:123	Act
leaderName	pkg/game/follow.go:126	Act
leaderName	pkg/game/follow.go:132	Act
leaderName	pkg/game/follow.go:135	Act
leaderName	pkg/game/follow.go:137	Act
leaderName	pkg/game/follow.go:140	Act
leader	pkg/game/follow.go:172	Act
leader	pkg/game/follow.go:174	Act
leader	pkg/game/follow.go:177	Act
leader	pkg/game/follow.go:181	Act
leader	pkg/game/follow.go:183	Act
leader	pkg/game/follow.go:186	Act
casterRoom	pkg/game/gates.go:62	.SendToRoom
casterRoom	pkg/game/gates.go:89	.SendToRoom
b	pkg/game/house_control.go:97	sendToChar
args	pkg/game/house_control.go:159	sendToChar
message	pkg/game/house_control.go:191	sendToChar
gName	pkg/game/house_player.go:135	.SendMessage
name	pkg/game/house_rent.go:63	sendToChar
liqIndex	pkg/game/item_consumable.go:89	.SendMessage
item	pkg/game/item_consumable.go:97	Act
liqIndex	pkg/game/item_consumable.go:98	.SendMessage
liqIndex	pkg/game/item_consumable.go:114	.SendMessage
arg1	pkg/game/item_consumable.go:171	.SendMessage
item	pkg/game/item_consumable.go:188	Act
item	pkg/game/item_consumable.go:189	Act
item	pkg/game/item_consumable.go:203	Act
item	pkg/game/item_consumable.go:204	Act
item	pkg/game/item_consumable.go:206	Act
item	pkg/game/item_consumable.go:207	Act
toObj	pkg/game/item_consumable.go:279	Act
toObj	pkg/game/item_consumable.go:283	Act
arg2	pkg/game/item_consumable.go:288	.SendMessage
fromObj	pkg/game/item_consumable.go:292	Act
fromObj	pkg/game/item_consumable.go:298	Act
fromObj	pkg/game/item_consumable.go:308	Act
fromObj	pkg/game/item_consumable.go:309	Act
fromObj	pkg/game/item_consumable.go:360	.SendMessage
toObj	pkg/game/item_consumable.go:363	Act
fromObj	pkg/game/item_consumable.go:363	Act
toObj	pkg/game/item_consumable.go:364	Act
fromObj	pkg/game/item_consumable.go:364	Act
what	pkg/game/item_container.go:50	.SendMessage
arg2	pkg/game/item_container.go:74	.SendMessage
arg1	pkg/game/item_container.go:95	.SendMessage
arg1	pkg/game/item_container.go:129	.SendMessage
arg1	pkg/game/item_donate.go:138	.SendMessage
arg1	pkg/game/item_donate.go:149	.SendMessage
msg	pkg/game/item_equipment.go:79	.actToRoom
where	pkg/game/item_equipment.go:143	.SendMessage
arg1	pkg/game/item_equipment.go:416	.SendMessage
arg1	pkg/game/item_equipment.go:423	.SendMessage
arg2	pkg/game/item_equipment.go:432	.SendMessage
arg1	pkg/game/item_equipment.go:445	.SendMessage
arg1	pkg/game/item_equipment.go:464	.SendMessage
obj	pkg/game/item_equipment.go:504	.actToRoom
arg1	pkg/game/item_equipment.go:549	.SendMessage
arg1	pkg/game/item_equipment.go:556	.SendMessage
victim	pkg/game/item_helpers.go:400	Act
obj	pkg/game/item_helpers.go:400	Act
victObj	pkg/game/item_helpers.go:400	Act
victim	pkg/game/item_helpers.go:406	Act
obj	pkg/game/item_helpers.go:406	Act
victObj	pkg/game/item_helpers.go:406	Act
obj	pkg/game/item_helpers.go:412	Act
victObj	pkg/game/item_helpers.go:412	Act
obj	pkg/game/item_helpers.go:418	Act
victObj	pkg/game/item_helpers.go:418	Act
amount	pkg/game/item_transfer.go:45	.SendMessage
keyword	pkg/game/item_transfer.go:203	.SendMessage
arg2	pkg/game/item_transfer.go:273	.SendMessage
arg2	pkg/game/item_transfer.go:300	.SendMessage
arg1	pkg/game/item_transfer.go:405	.SendMessage
arg1	pkg/game/item_transfer.go:419	.SendMessage
arg1	pkg/game/item_transfer.go:593	.SendMessage
arg1	pkg/game/item_transfer.go:616	.SendMessage
b	pkg/game/item_views.go:102	.SendMessage
b	pkg/game/item_views.go:149	.SendMessage
msg	pkg/game/limits_condition.go:77	.SendMessage
msgs	pkg/game/limits_condition.go:398	.SendToRoom
numLevels	pkg/game/limits_exp.go:254	sendToChar
roomVNum	pkg/game/limits_misc.go:46	.SendToRoom
format	pkg/game/look.go:109	Act
victim	pkg/game/look.go:609	Act
victim	pkg/game/look.go:611	Act
damage	pkg/game/mob.go:352	.SendMessage
arm	pkg/game/movement_commands.go:111	movementSendToChar
arm	pkg/game/movement_commands.go:113	Act
arm	pkg/game/movement_commands.go:113	Act
mount	pkg/game/movement_commands.go:125	Act
target	pkg/game/movement_commands.go:167	Act
target	pkg/game/movement_commands.go:169	Act
target	pkg/game/movement_commands.go:171	Act
target	pkg/game/movement_commands.go:173	Act
target	pkg/game/movement_commands.go:174	Act
target	pkg/game/movement_commands.go:178	Act
leader	pkg/game/movement_commands.go:243	Act
master	pkg/game/movement_commands.go:248	Act
leader	pkg/game/movement_commands.go:291	Act
leader	pkg/game/movement_commands.go:304	Act
leader	pkg/game/movement_commands.go:306	Act
leader	pkg/game/movement_commands.go:308	Act
argument	pkg/game/movement_commands.go:343	movementSendToChar
amount	pkg/game/other_economy.go:97	.SendMessage
amount	pkg/game/other_economy.go:100	.SendMessage
suffix	pkg/game/other_economy.go:129	.SendMessage
mob	pkg/game/other_economy.go:155	.SendMessage
itemArg	pkg/game/other_economy.go:177	.SendMessage
target	pkg/game/other_economy.go:218	Act
target	pkg/game/other_economy.go:220	Act
targetObj	pkg/game/other_economy.go:224	Act
targetObj	pkg/game/other_economy.go:226	Act
format	pkg/game/other_helpers.go:76	Act
anchor	pkg/game/other_helpers.go:82	Act
format	pkg/game/other_helpers.go:82	Act
mountPlayer	pkg/game/other_mount.go:45	Act
mountMob	pkg/game/other_mount.go:60	Act
mountMob	pkg/game/other_mount.go:68	Act
mountMob	pkg/game/other_mount.go:81	Act
mountMob	pkg/game/other_mount.go:82	Act
mount	pkg/game/other_mount.go:103	Act
chPronouns	pkg/game/other_mount.go:193	.SendMessage
chPronouns	pkg/game/other_mount.go:195	.SendMessage
chPronouns	pkg/game/other_mount.go:203	.SendMessage
chPronouns	pkg/game/other_mount.go:210	.SendMessage
arg	pkg/game/other_settings.go:47	.SendMessage
msgs	pkg/game/other_settings.go:301	.SendMessage
msgs	pkg/game/other_settings.go:303	.SendMessage
result	pkg/game/other_status.go:65	.SendMessage
v	pkg/game/other_utility.go:192	Act
v	pkg/game/other_utility.go:214	Act
cost	pkg/game/other_utility.go:257	.SendMessage
cost	pkg/game/other_utility.go:267	.SendMessage
toRoom	pkg/game/other_utility.go:342	.SendMessage
peopleCount	pkg/game/other_utility.go:360	.SendMessage
maxRoll	pkg/game/other_utility.go:427	.SendMessage
goldLooted	pkg/game/party.go:139	.SendMessage
kp	pkg/game/party.go:162	.SendMessage
goldLooted	pkg/game/party.go:164	.SendMessage
kp	pkg/game/party.go:174	.SendMessage
remaining	pkg/game/party.go:181	.SendMessage
goldLooted	pkg/game/party.go:195	.SendMessage
goldLooted	pkg/game/party.go:203	.SendMessage
xp	pkg/game/party.go:221	.SendMessage
xp	pkg/game/party.go:259	.SendMessage
msg	pkg/game/quit.go:68	.SendMessage
weapon	pkg/game/spec_paladin.go:79	Act
weapon	pkg/game/spec_paladin.go:81	Act
class	pkg/game/spec_procs.go:185	sendToChar
verb	pkg/game/spec_procs.go:640	Act
evil	pkg/game/spec_procs.go:764	Act
horse	pkg/game/spec_procs2.go:346	Act
horse	pkg/game/spec_procs2.go:384	Act
horse	pkg/game/spec_procs2.go:413	Act
tips	pkg/game/spec_procs2.go:451	sendToChar
victim	pkg/game/spec_procs2.go:592	Act
player	pkg/game/spec_procs2.go:986	sendToChar
hired	pkg/game/spec_procs2.go:1025	Act
obj	pkg/game/spec_procs2.go:1375	Act
obj	pkg/game/spec_procs2.go:1376	Act
obj	pkg/game/spec_procs2.go:1377	Act
obj	pkg/game/spec_procs2.go:1379	Act
obj	pkg/game/spec_procs2.go:1380	Act
obj	pkg/game/spec_procs2.go:1381	Act
obj	pkg/game/spec_procs2.go:1382	Act
obj	pkg/game/spec_procs2.go:1383	Act
obj	pkg/game/spec_procs2.go:1384	Act
toRemove	pkg/game/spec_procs2.go:1416	sendToChar
evil	pkg/game/spec_procs2.go:1616	Act
stalker	pkg/game/spec_procs2.go:1887	Act
obj	pkg/game/spec_procs2.go:2000	Act
obj	pkg/game/spec_procs2.go:2001	Act
vict	pkg/game/spec_procs2.go:2072	Act
vict	pkg/game/spec_procs2.go:2074	Act
vict	pkg/game/spec_procs2.go:2080	Act
vict	pkg/game/spec_procs2.go:2082	Act
items	pkg/game/spec_procs3.go:472	Act
target	pkg/game/spec_procs3.go:545	Act
target	pkg/game/spec_procs3.go:547	Act
vict	pkg/game/spec_procs3.go:869	Act
vict	pkg/game/spec_procs3.go:870	Act
ch2	pkg/game/spec_procs3.go:1051	sendToChar
ch2	pkg/game/spec_procs3.go:1067	sendToChar
plan	pkg/game/spec_procs3.go:1399	Act
match	pkg/game/spec_procs3.go:1723	Act
ppl	pkg/game/spec_procs3.go:1824	Act
ppl	pkg/game/spec_procs3.go:1826	Act
ppl	pkg/game/spec_procs3.go:1831	Act
nextPlayer	pkg/game/spec_procs3.go:1831	Act
ppl	pkg/game/spec_procs3.go:1831	Act
nextPlayer	pkg/game/spec_procs3.go:1833	Act
ppl	pkg/game/spec_procs3.go:1833	Act
ppl	pkg/game/spec_procs3.go:1835	Act
nextPlayer	pkg/game/spec_procs3.go:1835	Act
pet	pkg/game/spec_procs4.go:207	sendToChar
names	pkg/game/spec_procs4.go:301	sendToChar
msg	pkg/game/spec_procs4.go:370	sendToChar
obj	pkg/game/spec_procs4.go:447	sendToChar
amount	pkg/game/spec_procs4.go:612	sendToChar
amount	pkg/game/spec_procs4.go:629	sendToChar
cost	pkg/game/spec_procs_missing.go:104	.SendMessage
item	pkg/game/spec_procs_missing.go:120	.SendMessage
mob	pkg/game/world.go:792	.SendMessage
target	pkg/game/world.go:947	Act
social	pkg/game/world.go:947	Act
target	pkg/game/world.go:948	Act
social	pkg/game/world.go:948	Act
target	pkg/game/world.go:950	Act
social	pkg/game/world.go:950	Act
social	pkg/game/world.go:954	.SendMessage
social	pkg/game/world.go:957	Act
social	pkg/game/world.go:958	Act
errMsg	pkg/game/world.go:1176	.SendMessage
mob	pkg/game/world.go:1248	.SendMessage
room	pkg/game/world.go:1296	.SendMessage
room	pkg/game/world.go:1298	.SendMessage
msg	pkg/session/act_comm.go:49	.Send
msg	pkg/session/act_comm.go:60	.Send
levels	pkg/session/act_informative.go:40	.Send
buf	pkg/session/act_informative.go:166	.Send
bit	pkg/session/act_informative.go:223	.Send
msg	pkg/session/act_offensive.go:25	.BroadcastToRoom
spellName	pkg/session/affects_informative.go:25	.Send
power	pkg/session/cast_cmds.go:282	.Send
power	pkg/session/cast_cmds.go:286	.Send
power	pkg/session/cast_cmds.go:290	.Send
parseError	pkg/session/cast_cmds.go:341	.Send
power	pkg/session/cast_cmds.go:347	.Send
power	pkg/session/cast_cmds.go:353	.Send
power	pkg/session/cast_cmds.go:359	.Send
power	pkg/session/cast_cmds.go:365	.Send
prompt	pkg/session/cast_cmds.go:379	.Send
power	pkg/session/cast_cmds.go:383	.Send
power	pkg/session/cast_cmds.go:389	.Send
power	pkg/session/cast_cmds.go:397	.Send
enterMsg	pkg/session/char_creation.go:712	.BroadcastToRoom
helpeeName	pkg/session/cmd_combat_basic.go:76	.Send
err	pkg/session/cmd_combat_basic.go:130	.Send
targetPlayer	pkg/session/cmd_group.go:80	.SendMessage
player	pkg/session/cmd_group.go:253	.SendMessage
filtered	pkg/session/cmd_group.go:335	.SendMessage
filtered	pkg/session/cmd_group.go:343	.SendMessage
filtered	pkg/session/cmd_group.go:354	.sendText
p	pkg/session/cmd_info.go:41	.Send
p	pkg/session/cmd_info.go:42	.Send
p	pkg/session/cmd_info.go:43	.Send
p	pkg/session/cmd_info.go:44	.Send
p	pkg/session/cmd_info.go:45	.Send
p	pkg/session/cmd_info.go:46	.Send
p	pkg/session/cmd_info.go:69	.Send
p	pkg/session/cmd_info.go:70	.Send
p	pkg/session/cmd_info.go:71	.Send
buf	pkg/session/cmd_info.go:393	.Send
buf	pkg/session/cmd_info.go:629	.sendText
out	pkg/session/cmd_info.go:948	.sendText
out	pkg/session/cmd_info.go:960	.sendText
out	pkg/session/cmd_info.go:1017	.sendText
out	pkg/session/cmd_info.go:1041	.sendText
entry	pkg/session/cmd_info.go:1142	.sendText
result	pkg/session/cmd_info.go:1163	.sendText
classAbbr	pkg/session/cmd_info.go:1191	.sendText
rec	pkg/session/cmd_info.go:1221	.sendText
room	pkg/session/cmd_inventory.go:67	.BroadcastToRoom
msg	pkg/session/cmd_inventory.go:67	.BroadcastToRoom
msg	pkg/session/cmd_misc.go:187	.sendText
msg	pkg/session/cmd_misc.go:194	.sendText
msg	pkg/session/cmd_misc.go:201	.sendText
err	pkg/session/combat_cmds.go:192	.Send
err	pkg/session/combat_cmds.go:206	.Send
leaveMsg	pkg/session/combat_cmds.go:395	.BroadcastToRoom
capmsg	pkg/session/combat_cmds.go:444	.Send
lowmsg	pkg/session/combat_cmds.go:452	.Send
lowmsg	pkg/session/combat_cmds.go:480	.Send
lowmsg	pkg/session/combat_cmds.go:488	.Send
action	pkg/session/comm_cmds.go:128	.Send
msg	pkg/session/comm_cmds.go:144	.BroadcastToRoom
message	pkg/session/comm_cmds.go:187	.Send
itemName	pkg/session/comm_cmds.go:214	.Send
message	pkg/session/comm_cmds.go:256	.Send
message	pkg/session/comm_cmds.go:297	.Send
message	pkg/session/comm_cmds.go:312	.Send
message	pkg/session/comm_cmds.go:317	.Send
ignored	pkg/session/comm_cmds.go:393	.Send
targetName	pkg/session/comm_cmds.go:408	.Send
targetName	pkg/session/comm_cmds.go:411	.Send
errMsg	pkg/session/commands.go:598	.sendText
playerPos	pkg/session/commands.go:911	.sendText
roomVNum	pkg/session/commands.go:953	.BroadcastToRoom
msg	pkg/session/commands.go:953	.BroadcastToRoom
size	pkg/session/display_cmds.go:342	.Send
doorDesc	pkg/session/door_cmds.go:61	.Send
exit	pkg/session/door_cmds.go:64	.BroadcastToRoom
arg	pkg/session/eat_cmds.go:57	.Send
item	pkg/session/eat_cmds.go:74	.Send
buf	pkg/session/gen_ps_cmds.go:289	.Send
msg	pkg/session/manager.go:487	.BroadcastToRoom
leaveMsg	pkg/session/manager.go:1256	.BroadcastToRoom
p	pkg/session/manager.go:1494	.SendToRoom
p	pkg/session/manager.go:1494	.SendToRoom
line	pkg/session/map_cmds.go:259	.Send
current	pkg/session/menu.go:160	.sendText
name	pkg/session/menu.go:268	.sendText
enterMsg	pkg/session/menu.go:325	.BroadcastToRoom
name	pkg/session/menu.go:325	.BroadcastToRoom
xpLoss	pkg/session/movement_cmds.go:122	.Send
oldRoom	pkg/session/movement_cmds.go:136	.BroadcastToRoom
leaveMsg	pkg/session/movement_cmds.go:136	.BroadcastToRoom
newRoom	pkg/session/movement_cmds.go:147	.BroadcastToRoom
enterMsg	pkg/session/movement_cmds.go:147	.BroadcastToRoom
msg	pkg/session/movement_cmds.go:192	.BroadcastToRoom
text	pkg/session/oedit.go:361	.SendMessage
idx	pkg/session/pager.go:192	.sendText
shown	pkg/session/pager.go:203	.sendText
text	pkg/session/sedit.go:243	.SendMessage
enterMsg	pkg/session/session_login.go:155	.BroadcastToRoom
p	pkg/session/session_pump.go:241	.SendToRoom
p	pkg/session/session_pump.go:241	.SendToRoom
line	pkg/session/session_send.go:207	.Send
text	pkg/session/session_send.go:283	.sendPromptText
closedMessage	pkg/session/shop_cmds.go:102	.Send
output	pkg/session/shop_cmds.go:272	.Send
keeperName	pkg/session/shop_cmds.go:319	.Send
matchedProto	pkg/session/shop_cmds.go:365	.Send
matchedProto	pkg/session/shop_cmds.go:367	.Send
keeperName	pkg/session/shop_cmds.go:401	.Send
item	pkg/session/shop_cmds.go:417	.Send
soldNames	pkg/session/shop_cmds.go:458	.Send
sold	pkg/session/shop_cmds.go:460	.Send
snapshot	pkg/session/time_weather.go:85	.Send
itemName	pkg/session/use_cmds.go:41	.Send
item	pkg/session/use_cmds.go:216	.Send
item	pkg/session/use_cmds.go:225	.Send
item	pkg/session/use_cmds.go:230	.Send
msg	pkg/session/wiz_communication.go:60	.BroadcastToRoom
msg	pkg/session/wiz_communication.go:62	.Send
msg	pkg/session/wiz_communication.go:98	.SendMessage
msg	pkg/session/wiz_communication.go:106	.Send
toSend	pkg/session/wiz_communication.go:326	.Send
online	pkg/session/wiz_communication.go:417	.Send
offline	pkg/session/wiz_communication.go:420	.Send
value	pkg/session/wiz_info.go:99	.Send
level	pkg/session/wiz_info.go:286	.Send
w	pkg/session/wiz_info.go:377	.Send
w	pkg/session/wiz_info.go:384	.Send
targetVNum	pkg/session/wiz_movement.go:152	.Send
directionArg	pkg/session/wiz_movement.go:181	.Send
destination	pkg/session/wiz_movement.go:449	.Send
gesture	pkg/session/wiz_object.go:194	.BroadcastToRoom
message	pkg/session/wiz_object.go:196	.BroadcastToRoom
message	pkg/session/wiz_object.go:197	.Send
targetSess	pkg/session/wiz_player.go:31	.Send
target	pkg/session/wiz_player.go:247	.Send
target	pkg/session/wiz_player.go:249	.Send
levelMessages	pkg/session/wiz_player.go:363	.SendMessage
vict	pkg/session/wiz_player.go:521	.Send
ack	pkg/session/wiz_set.go:190	.Send
ack	pkg/session/wiz_set.go:216	.Send
id	pkg/session/wiz_stats.go:160	.Send
title	pkg/session/wiz_stats.go:166	.Send
description	pkg/session/wiz_stats.go:171	.Send
pt	pkg/session/wiz_stats.go:179	.Send
line	pkg/session/wiz_stats.go:194	.Send
position	pkg/session/wiz_stats.go:195	.Send
flags	pkg/session/wiz_stats.go:196	.Send
preferenceFlags	pkg/session/wiz_stats.go:206	.Send
invCount	pkg/session/wiz_stats.go:217	.Send
full	pkg/session/wiz_stats.go:227	.Send
room	pkg/session/wiz_stats.go:373	.Send
zoneIndex	pkg/session/wiz_stats.go:374	.Send
room	pkg/session/wiz_stats.go:375	.Send
room	pkg/session/wiz_stats.go:378	.Send
chars	pkg/session/wiz_stats.go:392	.Send
itemNames	pkg/session/wiz_stats.go:400	.Send
exit	pkg/session/wiz_stats.go:408	.Send
exit	pkg/session/wiz_stats.go:410	.Send
rnum	pkg/session/wiz_stats.go:513	.Send
names	pkg/session/wiz_stats.go:520	.Send
words	pkg/session/wiz_stats.go:524	.Send
proto	pkg/session/wiz_stats.go:527	.Send
inRoom	pkg/session/wiz_stats.go:530	.Send
contents	pkg/session/wiz_stats.go:537	.Send
rendered	pkg/session/wiz_stats.go:549	.Send
plan	pkg/session/wiz_system.go:59	.SendToAll
when	pkg/session/wiz_system.go:235	.Send
when	pkg/session/wiz_system.go:237	.Send
level	pkg/session/wiz_system.go:239	.Send
numToDC	pkg/session/wiz_system.go:278	.Send
now	pkg/session/wiz_system.go:297	.Send
boot	pkg/session/wiz_system.go:326	.Send
player	pkg/session/wiz_system.go:348	.Send
rec	pkg/session/wiz_system.go:359	.Send
stats	pkg/session/wiz_system.go:515	.Send
newState	pkg/session/wiz_system.go:530	.Send
newState	pkg/session/wiz_system.go:535	.Send
target	pkg/session/wiz_system.go:558	.Send
zoneIndex	pkg/session/wiz_zone.go:69	.Send
result	pkg/session/wiz_zone.go:190	.Send
text	pkg/session/zedit.go:231	.SendMessage
msg	pkg/spells/affect_spells.go:1339	.SendMessage
chName	pkg/spells/affect_spells.go:2964	.SendMessage
chName	pkg/spells/affect_spells.go:3044	.SendMessage
chName	pkg/spells/affect_spells.go:3067	.SendMessage
msg	pkg/spells/say_spell.go:310	.SendMessage
msg	pkg/spells/say_spell.go:334	.SendMessage
