from_vnum,to_vnum,direction,door_state,key,keywords
18306,18314,south,0,-1,
18306,18305,west,0,-1,
18307,18308,east,0,-1,
18307,18315,south,0,-1,
18307,18306,west,0,-1,
18308,18316,south,0,-1,
18308,18307,west,0,-1,
18309,18301,north,0,-1,
18309,18310,east,0,-1,
18309,18317,south,0,-1,
18310,18302,north,0,-1,
18310,18311,east,0,-1,
18310,18318,south,0,-1,
18310,18309,west,0,-1,
18311,18303,north,0,-1,
18311,18312,east,0,-1,
18311,18319,south,0,-1,
18311,18310,west,0,-1,
18312,18304,north,0,-1,
18312,18313,east,0,-1,
18312,18320,south,0,-1,
18312,18311,west,0,-1,
18313,18305,north,0,-1,
18313,18314,east,0,-1,
18313,18321,south,0,-1,
18313,18312,west,0,-1,
18314,18306,north,0,-1,
18314,18315,east,0,-1,
18314,18322,south,0,-1,
18314,18313,west,0,-1,
18315,18307,north,0,-1,
18315,18316,east,0,-1,
18315,18323,south,0,-1,
18315,18314,west,0,-1,
18316,18308,north,0,-1,
18316,18324,south,0,-1,
18316,18315,west,0,-1,
18317,18309,north,0,-1,
18317,18318,east,0,-1,
18317,18325,south,0,-1,
18318,18310,north,0,-1,
18318,18319,east,0,-1,
18318,18326,south,0,-1,
18318,18317,west,0,-1,
18319,18311,north,0,-1,
18319,18320,east,0,-1,
18319,18327,south,0,-1,
18319,18318,west,0,-1,
18320,18312,north,0,-1,
18320,18321,east,0,-1,
18320,18328,south,0,-1,
18320,18319,west,0,-1,
18321,18313,north,0,-1,
18321,18322,east,0,-1,
18321,18329,south,0,-1,
18321,18320,west,0,-1,
18322,18314,north,0,-1,
18322,18323,east,0,-1,
18322,18330,south,0,-1,
18322,18321,west,0,-1,
18323,18315,north,0,-1,
18323,18324,east,0,-1,
18323,18331,south,0,-1,
18323,18322,west,0,-1,
18324,18316,north,0,-1,
18324,18332,south,0,-1,
18324,18323,west,0,-1,
18325,18317,north,0,-1,
18325,18326,east,0,-1,
18325,18333,south,0,-1,
18326,18318,north,0,-1,
18326,18327,east,0,-1,
18326,18334,south,0,-1,
18326,18325,west,0,-1,
18327,18319,north,0,-1,
18327,18328,east,0,-1,
18327,18335,south,0,-1,
18327,18326,west,0,-1,
18328,18320,north,0,-1,
18328,18329,east,0,-1,
18328,18336,south,0,-1,
18328,18327,west,0,-1,
18329,18321,north,0,-1,
18329,18330,east,0,-1,
18329,18337,south,0,-1,
18329,18328,west,0,-1,
18330,18322,north,0,-1,
18330,18331,east,0,-1,
18330,18338,south,0,-1,
18330,18329,west,0,-1,
18331,18323,north,0,-1,
18331,18332,east,0,-1,
18331,18339,south,0,-1,
18331,18330,west,0,-1,
18332,18324,north,0,-1,
18332,18340,south,0,-1,
18332,18331,west,0,-1,
18333,18325,north,0,-1,
18333,18334,east,0,-1,
18333,18342,south,0,-1,
18334,18326,north,0,-1,
18334,18335,east,0,-1,
18334,18343,south,0,-1,
18334,18333,west,0,-1,
18335,18327,north,0,-1,
18335,18336,east,0,-1,
18335,18344,south,0,-1,
18335,18334,west,0,-1,
18336,18328,north,0,-1,
18336,18337,east,0,-1,
18336,18345,south,0,-1,
18336,18335,west,0,-1,
18337,18329,north,0,-1,
18337,18338,east,0,-1,
18337,18346,south,0,-1,
18337,18336,west,0,-1,
18338,18330,north,0,-1,
18338,18339,east,0,-1,
18338,18347,south,0,-1,
18338,18337,west,0,-1,
18339,18331,north,0,-1,
18339,18340,east,0,-1,
18339,18348,south,0,-1,
18339,18338,west,0,-1,
18340,18332,north,0,-1,
18340,18349,south,0,-1,
18340,18339,west,0,-1,
18342,18333,north,0,-1,
18342,18343,east,0,-1,
18342,18350,south,0,-1,
18343,18334,north,0,-1,
18343,18344,east,0,-1,
18343,18351,south,0,-1,
18343,18342,west,0,-1,
18344,18335,north,0,-1,
18344,18345,east,0,-1,
18344,18352,south,0,-1,
18344,18343,west,0,-1,
18345,18336,north,0,-1,
18345,18346,east,0,-1,
18345,18353,south,0,-1,
18345,18344,west,0,-1,
18346,18337,north,0,-1,
18346,18347,east,0,-1,
18346,18354,south,0,-1,
18346,18345,west,0,-1,
18347,18338,north,0,-1,
18347,18348,east,0,-1,
18347,18355,south,0,-1,
18347,18346,west,0,-1,
18348,18339,north,0,-1,
18348,18349,east,0,-1,
18348,18356,south,0,-1,
18348,18347,west,0,-1,
18349,18340,north,0,-1,
18349,18357,south,0,-1,
18349,18348,west,0,-1,
18350,18342,north,0,-1,
18350,18351,east,0,-1,
18350,18358,south,0,-1,
18351,18343,north,0,-1,
18351,18352,east,0,-1,
18351,18359,south,0,-1,
18351,18350,west,0,-1,
18352,18344,north,0,-1,
18352,18353,east,0,-1,
18352,18360,south,0,-1,
18352,18351,west,0,-1,
18353,18345,north,0,-1,
18353,18354,east,0,-1,
18353,18361,south,0,-1,
18353,18352,west,0,-1,
18354,18346,north,0,-1,
18354,18355,east,0,-1,
18354,18362,south,0,-1,
18354,18353,west,0,-1,
18355,18347,north,0,-1,
18355,18356,east,0,-1,
18355,18363,south,0,-1,
18355,18354,west,0,-1,
18356,18348,north,0,-1,
18356,18357,east,0,-1,
18356,18364,south,0,-1,
18356,18355,west,0,-1,
18357,18349,north,0,-1,
18357,18365,south,0,-1,
18357,18356,west,0,-1,
18358,18350,north,0,-1,
18358,18359,east,0,-1,
18359,18351,north,0,-1,
18359,18360,east,0,-1,
18359,18358,west,0,-1,
18360,18352,north,0,-1,
18360,18361,east,0,-1,
18360,18359,west,0,-1,
18361,18353,north,0,-1,
18361,18362,east,0,-1,
18361,18360,west,0,-1,
18362,18354,north,0,-1,
18362,18363,east,0,-1,
18362,18361,west,0,-1,
18363,18355,north,0,-1,
18363,18364,east,0,-1,
18363,18362,west,0,-1,
18364,18356,north,0,-1,
18364,18365,east,0,-1,
18364,18363,west,0,-1,
18365,18357,north,0,-1,
18365,18364,west,0,-1,
18367,18368,east,0,-1,
18367,18372,south,0,-1,
18368,18369,east,0,-1,
18368,18373,south,0,-1,
18368,18367,west,0,-1,
18369,18370,east,0,-1,
18369,18368,west,0,-1,
18369,18374,up,0,-1,
18370,18371,east,0,-1,
18370,18375,south,0,-1,
18370,18369,west,0,-1,
18371,9631,north,0,-1,
18371,18376,south,0,-1,
18371,18370,west,0,-1,
18372,18367,north,0,-1,
18372,18373,east,0,-1,
18372,18377,south,0,-1,
18373,18368,north,0,-1,
18373,18378,south,0,-1,
18373,18372,west,0,-1,
18373,18374,up,0,-1,
18374,18375,east,0,-1,
18374,8062,south,0,-1,
18374,18373,west,0,-1,
18375,18370,north,0,-1,
18375,18376,east,0,-1,
18375,18380,south,0,-1,
18375,18374,up,0,-1,
18376,18371,north,0,-1,
18376,18381,south,0,-1,
18376,18375,west,0,-1,
18377,18372,north,0,-1,
18377,18378,east,0,-1,
18378,18373,north,0,-1,
18378,18379,east,0,-1,
18378,18377,west,0,-1,
18379,18380,east,0,-1,
18379,18378,west,0,-1,
18379,18374,up,0,-1,
18380,18375,north,0,-1,
18380,18381,east,0,-1,
18380,18379,west,0,-1,
18381,18376,north,0,-1,
18381,18380,west,0,-1,
18397,18398,east,0,0,
18398,18399,north,0,-1,
18398,18397,west,0,-1,
18399,18398,south,0,0,
18001,18012,north,0,0,
18001,18008,east,0,0,
18001,18002,south,0,0,
18007,18001,north,0,0,
18007,18008,east,0,-1,
18007,18006,west,0,-1,
18008,18009,north,1,0,
18008,18010,east,1,0,
18008,18001,west,0,0,
18008,18011,up,0,0,
18009,18008,south,1,0,
18010,18008,west,1,0,
18011,18008,down,0,0,
18012,0,north,0,0,
18012,0,east,0,0,
18012,18001,south,0,0,
18012,18014,west,0,0,
18013,18014,south,0,0,
18014,18013,north,0,0,
18014,18012,east,0,0,
18014,18015,south,0,0,
18014,18017,west,0,0,
18015,18014,north,0,0,
18016,18017,south,0,0,
18017,18016,north,0,0,
18017,18014,east,0,0,
18017,0,south,0,0,
18017,0,west,0,0,
18018,18014,north,0,-1,
18018,18017,west,0,-1,
18019,18017,north,0,-1,
18019,18020,south,0,-1,
18020,18019,north,0,-1,
18020,18021,south,0,-1,
18021,18020,north,0,-1,
18021,18023,south,0,-1,
18022,18023,east,0,-1,
18022,18029,south,0,-1,
18023,18021,north,0,-1,
18023,18024,east,0,-1,
18023,18030,south,0,-1,
18023,18022,west,0,-1,
18024,18031,south,0,-1,
18024,18023,west,0,-1,
18025,18026,east,0,-1,
18025,18040,south,0,-1,
18026,18027,east,0,-1,
18026,18041,south,0,-1,
18026,18025,west,0,-1,
18027,18042,south,0,-1,
18027,18026,west,0,-1,
18028,18029,east,0,-1,
18028,18044,south,0,-1,
18029,18022,north,0,-1,
18029,18030,east,0,-1,
18029,18045,south,0,-1,
18029,18028,west,0,-1,
18030,18023,north,0,-1,
18030,18031,east,0,-1,
18030,18046,south,0,-1,
18030,18029,west,0,-1,
18031,18024,north,0,-1,
18031,18032,east,0,-1,
18031,18047,south,0,-1,
18031,18030,west,0,-1,
18032,18033,east,0,-1,
18032,18048,south,0,-1,
18032,18031,west,0,-1,
18033,18034,east,0,-1,
18033,18032,west,0,-1,
18034,18035,east,0,-1,
18034,18033,west,0,-1,
18035,18036,east,0,-1,
18035,18034,west,0,-1,
18036,18037,east,0,-1,
18036,18035,west,0,-1,
18037,18038,east,0,-1,
18037,18036,west,0,-1,
18038,18039,east,0,-1,
18038,18037,west,0,-1,
18039,18040,east,0,-1,
18039,18049,south,0,-1,
18039,18038,west,0,-1,
18040,18025,north,0,-1,
18040,18041,east,0,-1,
18040,18050,south,0,-1,
18040,18039,west,0,-1,
18041,18026,north,0,-1,
18041,18042,east,0,-1,
18041,18051,south,0,-1,
18041,18040,west,0,-1,
18042,18027,north,0,-1,
18042,18043,east,0,-1,
18042,18052,south,0,-1,
18042,18041,west,0,-1,
18043,18053,south,0,-1,
18043,18042,west,0,-1,
18044,18028,north,0,-1,
18044,18045,east,0,-1,
18045,18029,north,0,-1,
18045,18046,east,0,-1,
18045,18054,south,0,-1,
18045,18044,west,0,-1,
18046,18030,north,0,-1,
18046,18047,east,0,-1,
18046,18055,south,0,-1,
18046,18045,west,0,-1,
18047,18031,north,0,-1,
18047,18048,east,0,-1,
18047,18056,south,0,-1,
18047,18046,west,0,-1,
18048,18032,north,0,-1,
18048,18047,west,0,-1,
18049,18039,north,0,-1,
18049,18050,east,0,-1,
18050,18040,north,0,-1,
18050,18051,east,0,-1,
18050,18060,south,0,-1,
18050,18049,west,0,-1,
18051,18041,north,0,-1,
18051,18052,east,0,-1,
18051,18061,south,0,-1,
18051,18050,west,0,-1,
18052,18042,north,0,-1,
18052,18053,east,0,-1,
18052,18062,south,0,-1,
18052,18051,west,0,-1,
18053,18043,north,0,-1,
18053,18052,west,0,-1,
18054,18045,north,0,-1,
18054,18055,east,0,-1,
18055,18046,north,0,-1,
18055,18056,east,0,-1,
18055,18063,south,0,-1,
18055,18054,west,0,-1,
18056,18047,north,0,-1,
18056,18055,west,0,-1,
18057,18058,east,0,-1,
18057,18064,south,0,-1,
18058,18059,east,0,-1,
18058,18065,south,0,-1,
18058,18057,west,0,-1,
18059,18066,south,0,-1,
18059,18058,west,0,-1,
18060,18050,north,0,-1,
18060,18061,east,0,-1,
18061,18051,north,0,-1,
18061,18062,east,0,-1,
18061,18060,west,0,-1,
18062,18052,north,0,-1,
18062,18061,west,0,-1,
18063,18055,north,0,-1,
18063,18071,south,0,-1,
18064,18057,north,0,-1,
18064,18065,east,0,-1,
18065,18058,north,0,-1,
18065,18066,east,0,-1,
18065,18072,south,0,-1,
18065,18064,west,0,-1,
18066,18059,north,0,-1,
18066,18065,west,0,-1,
18067,18073,south,0,-1,
18068,18069,east,0,-1,
18068,18077,south,0,-1,
18069,18070,east,0,-1,
18069,18078,south,0,-1,
18069,18068,west,0,-1,
18070,18079,south,0,-1,
18070,18069,west,0,-1,
18071,18063,north,0,-1,
18072,18065,north,0,-1,
18073,18067,north,0,-1,
18073,18074,east,0,-1,
18074,18075,east,0,-1,
18074,18073,west,0,-1,
18076,18077,north,0,0,
18076,18096,south,0,0,
18076,18075,up,0,0,
18076,18093,down,0,0,
18077,18078,east,0,0,
18077,18076,south,0,0,
18077,18075,up,0,0,
18077,18091,down,0,0,
18078,18077,north,0,0,
18078,18079,east,0,0,
18078,0,up,0,0,
18079,18099,south,0,0,
18079,18078,west,0,0,
18079,18075,up,0,0,
18079,18088,down,0,0,
18090,18089,east,0,0,
18090,18091,west,0,0,
18090,18077,up,0,0,
18091,18090,east,0,0,
18091,18092,south,0,0,
18091,18077,up,0,0,
18092,18091,north,0,0,
18092,18093,south,0,0,
18092,18077,up,0,0,
18093,18092,north,0,0,
18093,18094,south,0,0,
18093,18076,up,0,0,
18099,18079,north,0,0,
18099,18098,south,0,0,
18099,18075,up,0,0,
18099,18085,down,0,0,
2501,2635,north,0,0,
2501,2502,east,0,0,
2501,2506,south,0,0,
2501,2640,west,0,0,
2502,2636,north,0,0,
2502,2503,east,0,0,
2502,2507,south,0,0,
2502,2501,west,0,0,
2503,2637,north,0,0,
2503,2504,east,0,0,
2503,2508,south,0,0,
2503,2502,west,0,0,
2504,2638,north,0,0,
2504,2641,east,0,0,
2504,2509,south,0,0,
2504,2503,west,0,0,
2505,2511,south,0,0,
2506,2501,north,0,0,
2506,2507,east,0,0,
2506,2512,south,0,0,
2507,2502,north,0,0,
2507,2508,east,0,0,
2507,2513,south,0,0,
2507,2506,west,0,0,
2508,2503,north,0,0,
2508,2509,east,0,0,
2508,2514,south,0,0,
2508,2507,west,0,0,
2509,2504,north,0,0,
2509,2515,south,0,0,
2509,2508,west,0,0,
2510,2516,south,0,0,
2511,2505,north,0,0,
2511,2517,south,0,0,
2512,2506,north,0,0,
2512,2513,east,0,0,
2513,2507,north,0,0,
2513,2514,east,0,0,
2513,2519,south,0,0,
2513,2512,west,0,0,
2514,2508,north,0,0,
2514,2515,east,0,0,
2514,2520,south,0,0,
2514,2513,west,0,0,
2515,2509,north,0,0,
2515,2514,west,0,0,
2516,2510,north,0,0,
2516,2522,south,0,0,
2517,2511,north,0,0,
2517,2518,east,0,0,
2517,2524,south,0,0,
2518,2525,south,0,0,
2518,2517,west,0,0,
2519,2513,north,0,0,
2519,2520,east,0,0,
2519,2526,south,0,0,
2520,2514,north,0,0,
2520,2527,south,0,0,
2520,2519,west,0,0,
2521,2522,east,0,0,
2521,2528,south,0,0,
2522,2516,north,0,0,
2522,2521,west,0,0,
2523,2524,east,0,0,
2523,2529,south,0,0,
2524,2517,north,0,0,
2524,2525,east,0,0,
2524,2530,south,0,0,
2524,2523,west,0,0,
2525,2518,north,0,0,
2525,2526,east,0,0,
2525,2531,south,0,0,
2525,2524,west,0,0,
2526,2519,north,0,0,
2526,2527,east,0,0,
2526,2532,south,0,0,
2526,2525,west,0,0,
2527,2520,north,0,0,
2527,2528,east,0,0,
2527,2533,south,0,0,
2527,2526,west,0,0,
2528,2521,north,0,0,
2528,2534,south,0,0,
2528,2527,west,0,0,
2529,2523,north,0,0,
2529,2530,east,0,0,
2529,2538,south,0,0,
2530,2524,north,0,0,
2530,2531,east,0,0,
2530,2539,south,0,0,
2530,2529,west,0,0,
2531,2525,north,0,0,
2531,2532,east,0,0,
2531,2540,south,0,0,
2531,2530,west,0,0,
2532,2526,north,0,0,
2532,2533,east,0,0,
2532,2541,south,0,0,
2532,2531,west,0,0,
2533,2527,north,0,0,
2533,2534,east,0,0,
2533,2542,south,0,0,
2533,2532,west,0,0,
2534,2528,north,0,0,
2534,2535,east,0,0,
2534,2543,south,0,0,
2534,2533,west,0,0,
2535,2544,south,0,0,
2535,2534,west,0,0,
2536,2546,south,0,0,
2537,2538,east,0,0,
2537,2548,south,0,0,
2538,2529,north,0,0,
2538,2539,east,0,0,
2538,2549,south,0,0,
2538,2537,west,0,0,
2539,2530,north,0,0,
2539,2540,east,0,0,
2539,2550,south,0,0,
2539,2538,west,0,0,
2540,2531,north,0,0,
2540,2541,east,0,0,
2540,2551,south,0,0,
2540,2539,west,0,0,
2541,2532,north,0,0,
2541,2542,east,0,0,
2541,2552,south,0,0,
2541,2540,west,0,0,
2542,2533,north,0,0,
2542,2543,east,0,0,
2542,2553,south,0,0,
2542,2541,west,0,0,
2543,2534,north,0,0,
2543,2544,east,0,0,
2543,2554,south,0,0,
2543,2542,west,0,0,
2544,2535,north,0,0,
2544,2545,east,0,0,
2544,2555,south,0,0,
2544,2543,west,0,0,
2545,2546,east,0,0,
2545,2556,south,0,0,
2545,2544,west,0,0,
2546,2536,north,0,0,
2546,2557,south,0,0,
2546,2545,west,0,0,
2547,2548,east,0,0,
2547,2558,south,0,0,
2548,2537,north,0,0,
2548,2549,east,0,0,
2548,2547,west,0,0,
2549,2538,north,0,0,
2549,2550,east,0,0,
2549,2548,west,0,0,
2550,2539,north,0,0,
2550,2551,east,0,0,
2550,2549,west,0,0,
2551,2540,north,0,0,
2551,2552,east,0,0,
2551,2550,west,0,0,
2552,2541,north,0,0,
2552,2553,east,0,0,
2552,2551,west,0,0,
2553,2542,north,0,0,
2553,2554,east,0,0,
2553,2564,south,0,0,
2553,2552,west,0,0,
2554,2543,north,0,0,
2554,2555,east,0,0,
2554,2565,south,0,0,
2554,2553,west,0,0,
2555,2544,north,0,0,
2555,2556,east,0,0,
2555,2566,south,0,0,
2555,2554,west,0,0,
2556,2545,north,0,0,
2556,2557,east,0,0,
2556,2567,south,0,0,
2556,2555,west,0,0,
2557,2546,north,0,0,
2557,2568,south,0,0,
2557,2556,west,0,0,
2558,2547,north,0,0,
2558,2569,south,0,0,
2559,2560,east,0,0,
2559,2570,south,0,0,
2560,2561,east,0,0,
2560,2571,south,0,0,
2560,2559,west,0,0,
2561,2572,south,0,0,
2561,2560,west,0,0,
2562,2563,east,0,0,
2562,2573,south,0,0,
2562,2646,down,2,2505,secret altar
2563,2574,south,0,0,
2563,2562,west,0,0,
2563,2643,up,0,0,
2564,2553,north,0,0,
2564,2565,east,0,0,
2564,2575,south,0,0,
2565,2554,north,0,0,
2565,2566,east,0,0,
2565,2576,south,0,0,
2565,2564,west,0,0,
2566,2555,north,0,0,
2566,2567,east,0,0,
2566,2577,south,0,0,
2566,2565,west,0,0,
2567,2556,north,0,0,
2567,2568,east,0,0,
2567,2578,south,0,0,
2567,2566,west,0,0,
2568,2557,north,0,0,
2568,2567,west,0,0,
2569,2558,north,0,0,
2569,2579,south,0,0,
2570,2559,north,0,0,
2570,2571,east,0,0,
2571,2560,north,0,0,
2571,2572,east,0,0,
2571,2570,west,0,0,
2572,2561,north,0,0,
2572,2582,south,0,0,
2572,2571,west,0,0,
2573,2562,north,0,0,
2573,2574,east,0,0,
2573,2583,south,1,0,door
2574,2563,north,0,0,
2574,2573,west,0,0,
2575,2564,north,0,0,
2575,2576,east,0,0,
2575,2585,south,0,0,
2576,2565,north,0,0,
2576,2577,east,0,0,
2576,2586,south,0,0,
2576,2575,west,0,0,
2577,2566,north,0,0,
2577,2578,east,0,0,
2577,2587,south,0,0,
2577,2576,west,0,0,
2578,2567,north,0,0,
2578,2588,south,0,0,
2578,2577,west,0,0,
2579,2569,north,0,0,
2579,2589,south,0,0,
2580,2581,east,1,0,bars
2581,2591,south,0,0,
2581,2580,west,1,0,bars
2582,2572,north,0,0,
2582,2583,east,0,0,
2582,2592,south,0,0,
2583,2573,north,1,0,door
2583,2584,east,0,0,
2583,2582,west,0,0,
2584,2585,east,0,0,
2584,2594,south,0,0,
2584,2583,west,0,0,
2585,2575,north,0,0,
2585,2586,east,0,0,
2585,2595,south,0,0,
2585,2584,west,0,0,
2586,2576,north,0,0,
2586,2587,east,0,0,
2586,2596,south,0,0,
2586,2585,west,0,0,
2587,2577,north,0,0,
2587,2588,east,0,0,
2587,2597,south,0,0,
2587,2586,west,0,0,
2588,2578,north,0,0,
2588,2598,south,0,0,
2588,2587,west,0,0,
2589,2579,north,0,0,
2589,2601,south,0,0,
2590,2591,east,1,0,bars
2591,2581,north,0,0,
2591,2603,south,0,0,
2591,2590,west,1,0,bars
2592,2582,north,0,0,
2592,2604,south,0,0,
2594,2584,north,0,0,
2594,2606,south,0,0,
2595,2585,north,0,0,
2595,2596,east,0,0,
2595,2607,south,0,0,
2596,2586,north,0,0,
2596,2597,east,0,0,
2596,2608,south,0,0,
2596,2595,west,0,0,
2597,2587,north,0,0,
