vnum,name,zone,flags,sector,description_preview
5712,Rain and Moss,57,dark;indoors,0,"Cool drops of water rain down from thickly clustered stalactites 
suspended from the ceiling. Dark c..."
5713,A Dark Tunnel,57,dark;indoors,0,To the west can dimly be seen a large cavern.  To the north the tunnel continues.  The dampness on t...
5714,A L O N G F A L L!!,57,death,0,"AAAAAIIIIIEEEEEEEEEE!!!!!!!

S        P        L        A        T        !        !        !

You s..."
5715,North End of Surf,57,,0,"You are waist deep in the surf and the rocks underwater are very slippery.  
Combined with the wash ..."
5716,South End of Surf,57,,0,"You are waist deep in the surf and the rocks underwater are very slippery.  
Combined with the wash ..."
5717,Deep Surf,57,death,0,"As  the undertow sucks you down and your lungs 
fill with water, you realize what an ...

I D I O T!..."
5718,Deep Surf,57,death,0,"As  the undertow sucks you down and your lungs 
fill with water, you realize what an ...

I D I O T!..."
5719,Deep Surf,57,death,0,"As  the undertow sucks you down and your lungs 
fill with water, you realize what an ...

I D I O T!..."
5720,The Kitchen,57,indoors,0,"Along the west wall of this room is a table with cupboards above and below.
Along the south wall is ..."
5721,End of the Hallway,57,dark;indoors,0,"You've reached the end of the hallway.  There are doors to the east 
and West."
5722,The Larder,57,indoors,0,"Running the length of the east wall from floor to ceiling of this room
are shelves stuffed with boxe..."
5723,Circle of Battle,57,indoors,0,"A thirty foot in diameter ring of silver and gold glyphs is inlaid into the
floor here. At the cente..."
5724,Bottom of the Pool,57,dark;indoors,0,"You are at the bottom of the pool.  It's pretty murky down here.  Did you 
remember to hold your bre..."
5725,The Pool,57,dark;indoors,0,"A square pool of murky water covered by seaweed is found here. The pool is
fed by streams of water i..."
5726,Main Store Room,57,indoors,0,Many kegs and barrels are neatly stacked in this room.
5727,In the Hallway,57,dark;indoors,0,"You are in the middle of a short hallway.  The hallway continues to the 
North and south and doors a..."
5728,Guests Dining Hall,57,indoors,0,"A 30' long 5' wide table surrounded by chairs runs down the center of
this room. A lone still figure..."
5729,Warning Message,57,dark;indoors,0,"A message in common tongue has been carved into the stone above the lintel
of the door at the end of..."
5730,A Short Hallway,57,dark;indoors,0,"You are in a short hallway that turns to the east and dead ends.  The 
hallway continues to the sout..."
5731,Conjurers Quarters,57,dark;indoors,0,"The door to this room opens a few inches and then something stops it.
At the foot of his bead in the..."
5732,Student Evokers Quarters,57,dark;indoors,0,"Lying in a bed in the NE corner of this room is an elf with his head 
propped up on a pillow. He hol..."
5733,At a Hallway Intersection,57,dark;indoors,0,"You are at the junction of two hallways. The Hallways lead east and North.
To the south is a door."
5734,End of the Hallway,57,dark;indoors,0,"You've reached the end of the hallway.  You can return to the west or there
is a door to the south."
5735,Domed Chamber,57,indoors,0,"A milky white translucent substance forms a 20' high domed ceiling here.
At three equidistant points..."
5736,The Face of Fear,57,indoors,0,"You've climbed nearly 70' high when strong winds begin to swirl about. 
Soon a multicolor maelstrom ..."
5737,Halfway Up the Stairs,57,indoors,0,"You are halfway up the set of stairs.  The fact that there is no visible 
means of support for the s..."
5738,Lower Tower Chamber,57,indoors,0,"A series of marble slabs form steps suspended in mid air and rise upward 
in a spiral along the wall..."
5739,Exercise Hall,57,indoors,0,"There are two men in nightclothes frozen in fighting stances and wielding
longswords near the middle..."
5740,Hallway Intersection,57,dark;indoors,0,"You are at the intersection of two hallways.  The hallways continue to the 
North, East, and South. ..."
5741,A Door Lined Hallway,57,dark;indoors,0,"You are in a short door-lined hallway.  There are doors to the north and
South.  The hallway continu..."
5742,A Door Lined Hallway,57,dark;indoors,0,"You are in a short door-lined hallway.  There are doors to the North, East,
and South.  The hallway ..."
5743,Top of the Shaft,57,indoors,0,"The platform stops gently at floor level and in the center of a 30' square
room. As soon as you step..."
5744,Lounge Area,57,indoors,0,"A large fireplace with flames cheerily dancing within covers the west wall
of this room. Above the f..."
5745,A Short Flight of Stairs,57,dark;indoors,0,A short flight of stairs leads down to another set of doors.
5746,Sealed Exit,57,indoors,0,"Two windows are in the north and south walls of this room. Through them 
can be seen a pinewood fore..."
5747,Doorstep,57,,0,"This is the doorstep to Orsilon's house.  You can go no further
than here due to the forcefield."
5748,Guards Quarters,57,dark;indoors,0,"Two unmade empty beds are in the far opposite corners of this room. There 
is a wood chest at the fo..."
5749,Student Prestidigitators Quarters,57,dark;indoors,0,"An empty bed is in the SE corner of this room. Hung by a hook on the North
wall is a robe beneath wh..."
5750,End of the Hallway,57,dark;indoors,0,"This is the Western end of a short hallway. There are doors to the North
and South.  The hallway con..."
5751,A Short Hallway,57,dark;indoors,0,"You are in the middle of a short hallway.  There are doors to the north and
South.  The hallway cont..."
5752,East End of a Short Hallway,57,dark;indoors,0,"You are at the Eastern end of a short hallway.  There is a door to the 
South and the hallway contin..."
5753,Captain of the Guards Quarters,57,dark;indoors,0,"A full suit of field plate armor hangs on a wood rack in the NE corner. In
the SW corner is a small ..."
5754,End of the Hallway,57,dark;indoors,0,"You are at the end of a hallway.  To the north is a hallway intersection.  
To the east is a heavy d..."
5755,Prison Cells,57,dark;indoors,0,"The door to this area is double thick and stands open. There are three 
doors spaced 10' apart on th..."
5756,Prison Cells,57,dark;indoors,0,"The door to this area is double thick and stands open. There are three 
doors spaced 10' apart on th..."
5757,Prison Cells,57,dark;indoors,0,"The door to this area is double thick and stands open. There are three 
doors spaced 10' apart on th..."
5758,Time Stopped Man,57,dark;indoors,0,"Inside the cell is a time stopped man on his knees holding a bowl to his
lips."
5759,Slagged Door,57,,0,"You stand in the entrance to an overgrown garden. Beyond the door is a
large chamber choked by a thi..."
5760,In an Overgrown Garden,57,,0,"The rosebushes are extremely tough and you have to fight your way through
them.  Movement is very sl..."
5761,Guest Room,57,dark;indoors,0,"There is a well made bed, a table and a chair in this room."
5762,Guest Room,57,dark;indoors,0,"There is a mussed bed, a table and a chair in this room."
5763,Empty Cell,57,dark;indoors,0,The cell is bare and empty.
5764,Empty Cell,57,dark;indoors,0,The cell is bare and empty.
5765,Empty Cell,57,dark;indoors,0,The cell is bare and empty.
5766,Short Flight of Stairs,57,dark;indoors,0,"You are on a short flight of stairs that goes down to the south and ends
at an ornately carved door."
5767,In an Overgrown Garden,57,,0,"The rosebushes are extremely tough and you have to fight your way through
them.  Movement is very sl..."
5768,In an Overgrown Garden,57,,0,"The rosebushes are extremely tough and you have to fight your way through
them.  Movement is very sl..."
5769,In an Overgrown Garden,57,,0,"The rosebushes are extremely tough and you have to fight your way through
them.  Movement is very sl..."
5770,In an Overgrown Garden,57,,0,"The rosebushes are extremely tough and you have to fight your way through
them.  Movement is very sl..."
5771,Small Clearing,57,,0,"You are in a small clearing in an overgrown garden.  Rose bushes run 
rampant."
5772,West End of a Long Hallway,57,dark;indoors,0,"You are at the western end of a long hallway. A door blocks progress to the
West and the hallway str..."
5773,Council Hall,57,indoors,0,"This area was obviously constructed as some sort of grand hall or
council chamber. The left and righ..."
5774,Circular Stone Staircase,57,dark;indoors,0,A series of stone stairs spiral downward into the darkness here.
5775,Gem Cutting Room,57,indoors,0,"A stout and heavy wood table is against the west wall. In front of the 
table is a chair. On the tab..."
5776,Burned Out Library,57,indoors,0,"Charred and blackened books fill the burnt remains of shelves along the 
West and North-West walls. ..."
5777,Short Hallway,57,indoors,0,"You are in a short hallway.  To the north and east are doors, to the west 
is a burnt out library."
5778,Magical Components Storage,57,indoors,0,"A confusing array of neatly stacked boxes, bins, bottles, vials, tins 
and various assorted other co..."
5779,Glassblower Workshop,57,indoors,0,"At the center of the east wall of this room is a fireplace. In the middle
of the room is a large 10'..."
5780,A Short Hallway,57,dark;indoors,0,"You are in a short connecting hallway.  To the north is a door, to the 
South and intersection."
5781,End of the Hallway,57,dark;indoors,0,"You have reached the end of this short hall.  To the north and south are
doors, to the east is the l..."
5782,Alchemy Laboratory,57,indoors,0,"A long table scattered with sheets of parchment runs along the south wall
between two doors. Running..."
5783,Four Ways to Go,57,dark;indoors,0,"You enter a 30' across octagonal chamber. To the north and south are 
identical doors. To the west i..."
5784,Underground Garden,57,,0,"The air here is fresh and clean. A bright spheroid of golden light emits 
from the ceiling casting a..."
5785,Potters Workshop,57,indoors,0,"In the NE corner of this room is a large, round barrel. At the center of 
the west wall is a large b..."
5786,Mordains Quarters,57,dark;indoors,0,"A good sized bed unmade and rumpled is in the NE corner. On the floor is
a badly worn persian rug."
5787,Hidden Lair,57,dark;indoors;private,0,You have entered a small lair of some sort.  The room is rather cramped.
5788,Entrance to Secret Chamber,57,dark;indoors,0,You are in a small square room.
5789,The Family Treasure Vault,57,dark;indoors,0,"There are two large chests bound in platinum and three large urns chased 
with gold along the north ..."
5790,Seascape Painting,57,indoors,0,"Thinking you'd get a better look at the seascape painting, you stepped
a bit closer.  As you approac..."
5791,Orsilons Quarters,57,dark;indoors,0,"A huge sumptuous bed of powder blue satiny material embroidered with 
gold thread floats at knee hei..."
5792,Fourth Level Teleport Room,57,indoors,0,"You appear in a small rounded alcove at the center of a wall in a 20' 
square room. There is a waist..."
5793,The Inner Sanctum,57,indoors,0,"You have come into the bottom of a triangular room measuring 30' on a 
side. At its center on indist..."
5794,Magic Den of the Yeti,57,dark;indoors,0,"Suddenly your surroundings have drastically changed. You appear near the
center of a 30' across roun..."
5795,Magic Den of the Troll,57,dark;indoors,0,"You suddenly appear in a 30' in diameter room. Bones litter the floor. At
the center is a low stone ..."
5796,The Bronze Guardian,57,indoors,0,"You appear at the far end of a 40' wide 80' long hall. Six stone columns,
three on a side, spaced 20..."
5798,"MIMIC LOAD ROOM, DON'T DELETE.",57,nomob;private,0,"The mimic loads here, used in the couch special."
5799,On the Platform,57,indoors,0,"The limestone walls of this chamber have been worked smooth. You stand in 
the center of a circular ..."
5800,Now Entering The Midlands,58,nomob;private,0,"Well, welcome to Scythe's second creation and hopefully not
my last.  This area is based on a trilog..."
5801,Entering The Hartland Forest,57,nomob;bspace,0,"You stand at the entrance to a rather dense forest.  You are
surprised to find that you do not feel ..."
5802,In The Hartland Forest,58,dark,0,"You are now standing in a forest with a very thick canopy.  You
can hardly see where you entered the..."
5803,A Path Through The Hartland,58,dark,0,"You continue on the path, noticing the size of the trees all
around you.  You feel dwarfed next to t..."
5804,A Worn Path In The Forest,58,dark,0,"The path continues yet deeper into the forest, you are starting
to wonder if you would be able to fi..."
5805,Deeper In The Forest,58,dark,0,"You are going deeper and deeper into the forest.  You begin to
get a faint feeling of magic in the a..."
5806,Entrance To An Old Cabin,58,,0,"You stand before an old cabin.  From the looks of it this cabin
has been here for a hundred years.  ..."
5807,Further In The Hartland Forest,58,dark,0,"You can tell that the forest is growing more dense with every
step you take.  It looks as though soo..."
5808,The Hartland Forest,58,dark,0,"You notice that the trees in this particular area are much 
larger than the ones you have previously..."
5809,End Of The Path,58,dark,0,"You seem to have come to the abrupt end of the path as the path
has been completely swallowed up by ..."
5810,An Abrupt End To The Path,58,dark,0,"The path here seems to have disappeared.  Try as you might, you 
cannot seem to find the path.  Your..."
5811,Zedd's Log Cabin,58,nomob;indoors,0,"You are now in the old cabin.  You notice a sign on the wall
which indicates that this is the humble..."
5812,The Edge Of The Boundary,58,dark;nomob,0,"You now stand at the edge of the pass which goes through the
boundary.  You aren't sure why, but you..."
5813,In The Forest,58,,0,"The forest canopy is not quite as dense here and you find that
you can see much better now.  The wil..."
5814,Deeper In The Hartland Forest,58,dark,0,"You have moved deeper into the forest and you find that the
canopy has sealed off the ceiling of the..."
5815,A Clearing In The Forest,58,nomob;peaceful,0,"You suddenly emerge from the thickest part of the forest and
you are now standing in a large clearin..."
5816,In The Forest,58,dark,0,"You are once again in a dark and dense part of the forest.
It is difficult to see where you are head..."
5817,Further In The Hartland,58,,0,"You are walking on a path that is rather clear for right now.
Looking ahead of you, you can tell tha..."
5818,Deeper In The Hartland,58,dark,0,"You are now into the thick of the forest.  The canopy seals out
all light in here.  You notice that ..."
5819,The Darkest Part Of The Forest,58,dark,0,It's too dark to see anything at all!
5820,At The Fringe Of The Boundary,58,dark;nomob,0,"You stand at the edge of the boundary, or more to the point,
the pass that goes through the boundary..."
5821,In The Pass Through The Boundary,58,,0,"You are now on the pass that will take you through the boundary.
Here the pass is rather wide so you..."
5822,At The Large Boulder,58,,0,"You notice that the pass heads uphill here.  There is a large
boulder here that almost blocks the pa..."
5823,Past The Boulder,58,,0,"You are now past the large boulder but you are now much closer
to the boundary.  You don't think you..."
5824,At The Boundary,58,,0,"You are now so close you are almost in the boundary.  You can
see many spirits of the people you lov..."
5825,At The Boundary,58,,0,"You are still just along the edge of the boundary.  You hear 
the longing calls of the spirits throu..."
5826,At The Boundary,58,,0,"At the green wall to the boundary, you can feel yourself being
drawn in and do not think it would be..."
5827,At The Boundary,58,,0,"You are moving away from the boundary, but you are still too
close for comfort.  The calls from the ..."
5828,Crossroads In The Pass,58,,0,"You have come to a crossroads in the pass.  You notice that
all the paths look the same and that the..."
5829,Entrance To A Cave,58,,0,"You stand before a rather large cave.  It does not appear to
have life of any kind, but since you ca..."
5830,The Cave In The Pass,58,dark;indoors,0,"The cave is rather large.  You can see a huge pile of skeletons
in the dirt against the wall of the ..."
5831,Another Pass In The Boundary,58,,0,"This pass is a bit steeper than the others.  You can feel the
strain on the muscles in your legs as ..."
5832,The Top Of The Rise,58,,0,"After hiking up the slope you appear to have reached the top,
only to find yourself closer to the bo..."
5833,Next To The Boundary,58,,0,"You are now standing directly next to the boundary.  You are 
so close to it that you can feel the m..."
5834,Next To The Boundary,58,,0,"Still walking right next to the boundary, you continue on a 
path sloping downward.  The eerie green..."
5835,The Bottom Of The Slope,58,,0,"You are now at the bottom of the slope, and a little farther
away from the actual boundary, but you ..."
5836,Away From The Boundary,58,,0,"Now that you are a little farther away from the boundary, the
call of the spirits is not as loud and..."
5837,Entrance To A Cavern,58,,0,"You stand before a narrow but long cavern.  It is the narrowest
part of the pass, and it is where th..."
5838,The Edge Of The Boundary,58,,0,"You notice that the path has leveled off here and that the 
boulders do not block your view here.  Y..."
5839,Death At The Hands Of The Keeper,58,death,0,"You know as soon as you walk in here that all is lost.  The 
Keeper smiles down at you wickedly.  Us..."
5840,In Between The Boundary,58,indoors;tunnel,0,"You have entered the cavern's passage and you realize that
the walls of the boundary are on both sid..."
5841,Lost In The Cavern,58,indoors;tunnel,0,"Looking back, you can no longer see the light from outside the
cavern to the north or the south.  Yo..."
5842,Almost Through The Cavern,58,indoors;tunnel,0,"You can now see light up ahead and it looks to be the way out
of here.  Looking back all you see is ..."
5843,Through The Boundary,58,nomob,0,"You are finally out of the boundary.  You have decided that
you will be happy if you never have to g..."
5844,In The Midlands Forest,58,,0,"Standing in the forest, you almost feel at home again now that
you are out of the pass in the bounda..."
5845,A Crossroads In The Midlands,58,,0,"You are now standing in a crossroads of some sort with the path
splitting off in many directions.  T..."
5846,In The Midlands,58,,0,"You are heading deeper and deeper into the forest.  For some
odd reason you are getting the feeling ..."
5847,A Turn In The Path,58,,0,"The path now turns in the forest.  It heads to the east or back
to the south."
5848,Continuing On The Path,58,,0,"Looking around you, you notice that the trees and underbrush 
are more sparse here and the path is a..."
5849,The Edge Of The Midlands Forest,58,,0,"The forest has almost completely disappeared here, and so has
the path.  Most likely the path has di..."
5850,In The Hills,58,nomob,0,"The hills here are much steeper and rockier than the ones that
you traveled through in the pass.  As..."
5851,Climbing The Rocky Terrain,58,,0,"You are still heading up and the terrain is much rockier here.
You are beginning to sweat from the w..."
5852,Up The Slope,58,,0,"You continue to head up the slope.  All of a sudden, a boulder
comes rolling down the slope.  You ju..."
5853,A Sharp Rise In The Path,58,,0,"You are now before a sharp rise in the path.  It is some kind
of plateau and it looks climbable from..."
5854,On The Plateau,58,,0,"After finally reaching the top of the plateau, you realize that
you have climbed a good twenty feet ..."
5855,The Edge Of The Plateau,58,,0,"You have reached the far side of the plateau.  Your view of
the forest is obscured by massive boulde..."
5856,The Foot Of The Mountain,58,,0,"You finish climbing down from the top of the plateau without
any major injuries.  You are now standi..."
5857,The Base Of The Mountain,58,,0,"Standing below the mountain, you conclude that it would be
one hell of a climb to reach the top.  It..."
5858,Climbing The Face Of The Mountain,58,,0,"You are now climbing the face of this great mountain.  You 
cannot believe you are even thinking abo..."
5859,Climbing The Face Of The Mountain,58,,0,"You continue on your climb up the face of this outrageously
high mountain.  You are wondering if you..."
5860,Climbing The Face Of The Mountain,58,,0,"Nearing the end of your endurance, you wonder how much higher
you will have to climb as you have not..."
5861,The Cave At The Top Of The Mountain,58,nomob;indoors,0,"You are now inside the cave.  At the back of the cave is a
rather large egg sitting in a very large ..."
5862,Another Crossroads In The Midlands,58,nomob,0,"You leave one crossroads and come to another.  The paths here
are a bit worn down indicating that ot..."
5863,A Small Clearing,58,nomob;peaceful,0,"This clearing in the forest seems odd because all around you
the forest is so dense that you cannot ..."
5864,A Turn In The Forest,58,,0,"The path begins to wind a bit at this point.  The path has
been growing a bit narrower as you contin..."
5865,A Split In The Narrow Path,58,,0,"The path has split off in two directions.  There is a small
clearing in the forest here where the pa..."
5866,Another Turn In The Path,58,nomob,0,"The path turns yet again so that it leads off to the south or
you can head back to the west."
5867,The Main Crossroads,58,,0,"You are standing in what is obviously a major crossroads as
it is very worn and wide.  There are hoo..."
5868,The Main Northern Road,58,,0,"This is the major road that heads north through the midlands
forest.  It is rather wide, wide enough..."
5869,A Split In The Western Road,58,,0,"The western road splits here, so that it leads north, east or
west.  There are still many tracks in ..."
5870,A Wide Path,58,,0,"This path is quite wide, but not to the scale of the western
road.  The trees line the path on both ..."
5871,The Path Splits Four Ways,58,,0,"Here the path splits off in all directions.  Off in the distance
you think you here the sounds of a ..."
5872,Entering Agaden Reach,58,dark,0,"The forest extends into a valley of some kind that appears to
be rather large.  The forest here is m..."
5873,In Agaden Reach,58,dark,0,"Walking along the path through the valley, you feel your fear
beginning to rise inside you.  It almo..."
5874,The Fountain In The Reach,58,dark;nomob,0,"You stand in a large, open area in the shape of a circle.  
There are vines growing on the trees all..."
5875,In The Plains,58,nomob,0,"Traveling through on this path through the plains is quite a 
change from the deep, thick forest you..."
5876,In The Fields,58,nomob,0,"The plains have gradually disappeared and now there are only
cultivated fields around you.  These fi..."
5877,Entrance To The Village,58,,0,"You are on a muddy path that leads to a small village.  There
are huts all around you.  Except for a..."
5878,In The Village,58,,0,"Looking around you, you notice many small huts with smoke coming
out of an opening in the top of the..."
5879,Turn In The Village,58,,0,"The huts are becoming fewer in number as you continue further
into the village.  You can see a sligh..."
5880,Within A Large Hut,58,indoors,0,"You now stand inside of one of the larger huts.  There are many
items strewn about and a few beds ar..."
5881,A Crossroads In The Village,58,,0,"From the looks of the people in this village, you are beginning
to understand why they are called th..."
5882,The Spirit Hut,58,indoors;peaceful,0,"You now stand within a very large hut that appears to be some
kind of gathering place for the elders..."
5883,A Small Hut In The Village,58,indoors,0,"This is a much smaller hut with many weapons lying about as well
as many tools.  There is a bed in t..."
5884,In The Village,58,,0,"The village continues along this road.  The huts are spaced
apart in increments of about ten to twen..."
5885,A Turn In The Village,58,,0,"The path turns here so it is now heading east and north.  The
amount of mud in this village is quite..."
5886,A Split In The Path,58,,0,"The path now splits off in three directions, north, south and
west."
5887,The Busy Center,58,,0,"You are standing in what looks to be a main center of the village
with many huts around it and a lar..."
5888,The Village Store,58,indoors,0,"You are standing within a shop that appears to carry just about
everything possible.  You see weapon..."
5889,A Small Hut,58,indoors,0,"This hut is really plain.  There are a couple of furs and some
spears around the hut, other than tha..."
5890,Another Hut,58,indoors,0,"There is a small fire burning at the center of the hut with
the smoke coming out of the top of the h..."
5891,A Turn In The Midlands Path,58,,0,"The path through the forest turns here.  You are no longer
on a main road, but on a much smaller pat..."
5892,Deeper In The Midlands,58,,0,"The forest is growing much more dense as you continue along
this path.  The trees obscure the light ..."
5893,Another Split In The Path,58,,0,"The path splits here so that it heads north and south.  You
notice that there are many footprints he..."
5894,A Turn In The Midlands,58,,0,"The forest is not quite as dense here.  The path has widened a
bit and the trees do not appear to be..."
5895,The Edge Of The Midlands,58,nomob,0,"Amazingly, you continue on the path and just when the path looks
to be at it's end, you are at the e..."
5896,In The Deep Midlands,58,dark;nomob,0,"The forest is much deeper here.  It almost seems as if the forest
has swallowed up all light from th..."
5897,Deep In The Midlands,58,dark,0,"You have now lost all signs of a path and you are not even sure
which way would lead you back out of..."
5898,Lost In The Midlands Forest,58,dark,0,"You are beginning to get dizzy after walking through this forest
because you are lost.  You can't se..."
5899,Out of The Midlands,58,,0,"You are finally out of that forest and can get some feeling of
where you are going now.  You are rel..."
18300,An Immortal Map Room,183,private,0,This is a map room of zone 183.  There is a map taped to the wall here.
18301,A Red Square,183,bspace,0,"You are in the north-west corner of the board in a gleaming red tiled plaza.
There are exits to the ..."
18302,A Black Square,183,bspace,0,"This is the north-west section of the main plaza.  This particular section of
the plaza is made up o..."
18303,A Red Square,183,bspace,0,"This is the north-west section of the plaza.  This section is made up of small
red tiles in an ornat..."
18304,A Black Square,183,bspace,0,"This is basically the north-center of the main plaza.  This section of the
plaza is made up of semi-..."
18305,A Red Square,183,bspace,0,"You are basically about the center of the plaza right at the north wall.  This
area is made up of sm..."
18306,A Black Square,183,bspace,0,"You are in the north-east section of the of the plaza.  This area is made of 
a black streaked stone..."
18307,A Red Square,183,bspace,0,"This is the north-east section of the main plaza.  This little square is made up
of small, irregular..."
18308,A Black Square,183,bspace,0,"This is the north-east corner of the plaza.  This area has a smooth-as-glass,
gleaming black floor. ..."
18309,A Black Square,183,bspace,0,"Along the west wall in the north-west section of the plaza.  The floor is a 
rough black surface.  Y..."
18310,A Red Square,183,bspace,0,"You are in the north-west section of the main plaza.  This area has a slick red
floor.  Exits lead n..."
18311,A Black Square,183,bspace,0,"The north-west section of the main plaza.  This small zone is made up of very
small black tiles.  Ex..."
18312,A Red Square,183,bspace,0,"You are in the north-east corner of the plaza.  The floor is made of flat, red
stones.  Exits lead i..."
18313,A Black Square,183,bspace,0,"You are in the north-east section of the plaza.  The floor here is covered by
a fine black gravel.  ..."
18314,A Red Square,183,bspace,0,"This small area in the north-east part of the plaza is made up of very large
slabs of dull red stone..."
18315,A Black Square,183,bspace,0,"In the north-east section of the main plaza, this square is made up of chunks of
mismatched black st..."
18316,A Red Square,183,bspace,0,"Along the east wall in the north-east of the plaza, this square's floor is made
up of a hard packed ..."
18317,A Red Square,183,bspace,0,"This is along the west wall in the north-west area.  The floor here is made up
of small red beads th..."
18318,A Black Square,183,bspace,0,"In the north-west section of the plaza, this very plain looking square with a
black floor has exits ..."
18319,A Red Square,183,bspace,0,"The floor of this room is some covered with some kind of pine needles, which is
strange because ther..."
18320,A Black Square,183,bspace,0,"There is moss growing on the ground here, covering the original color of the
floor.  This moss is a ..."
18321,A Red Square,183,bspace,0,"There is a thick, red, shag carpet here.  Because of the carpet it seems
very quiet.  Exits lead nor..."
18322,A Black Square,183,bspace,0,"In the north-east section of the plaza, this open area is made completely up of
a single slab of ony..."
18323,A Red Square,183,bspace,0,"This is in the north-east section of the main plaza.  The room is all done up
with red painted wood...."
18324,A Black Square,183,bspace,0,"This room has a mute, black, indescribable feel to it.  Directly to your
east is the east wall.  Exi..."
18325,A Black Square,183,bspace,0,"Along the west wall this square is made up of a fine black stone, inlayed with
a little gold.  Exits..."
18326,A Red Square,183,bspace,0,"A richly ornated area, this place in the north-west portion of the plaza has
many comfortable items ..."
18327,A Black Square,183,bspace,0,"In the north-west area of the main plaza, this mini-plaza is done in a low pile
carpet.  It is a cha..."
18328,A Red Square,183,bspace,0,"This area is coated in a fine red powder.  It is in the air and dries
out your throat very quickly. ..."
