surface_class	family	units	status	proof_or_attempt	c_source_scope	notes
activity-call-sites	src/ban.c act-send family	11	blocked	terminal-surface-audit-2026-09-04	src/ban.c:all	11 act()/send_to_char() call sites; ban and unban audience/state paths lack a complete surface proof. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/ban.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/boards.c act-send family	25	blocked	terminal-surface-audit-2026-09-04	src/boards.c:all	25 act()/send_to_char() call sites; board listing, reading, writing, and moderation variants remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/boards.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/clan.c act-send family	165	blocked	terminal-surface-audit-2026-09-04	src/clan.c:all	165 act()/send_to_char() call sites; clan administration and player-facing channel/state output remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/clan.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/comm.c act-send family	11	blocked	terminal-surface-audit-2026-09-04	src/comm.c:all	11 act()/send_to_char() call sites; link, pulse, room-activity, and death-adjacent output need complete lifecycle bucketing. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/comm.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/db.c act-send family	4	blocked	terminal-surface-audit-2026-09-04	src/db.c:all	4 act()/send_to_char() call sites include reload and load-time/player-facing paths; no blanket exclusion is justified. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/db.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/dream.c act-send family	29	blocked	terminal-surface-audit-2026-09-04	src/dream.c:all	29 act()/send_to_char() call sites; dream entry, progression, and wake output remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/dream.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/file-edit.c act-send family	9	blocked	terminal-surface-audit-2026-09-04	src/file-edit.c:all	9 act()/send_to_char() call sites; descriptor-driven editor output is an immortal-visible surface, not an exclusion. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/file-edit.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/gate.c act-send family	7	blocked	terminal-surface-audit-2026-09-04	src/gate.c:all	7 act()/send_to_char() call sites; gate interaction and error branches remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/gate.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/graph.c act-send family	9	blocked	terminal-surface-audit-2026-09-04	src/graph.c:all	9 act()/send_to_char() call sites; tracking success/failure audience and state branches remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/graph.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/handler.c act-send family	13	blocked	terminal-surface-audit-2026-09-04	src/handler.c:all	13 act()/send_to_char() call sites; shared transfer and lookup diagnostics need owner-level proof. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/handler.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/house.c act-send family	34	blocked	terminal-surface-audit-2026-09-04	src/house.c:all	34 act()/send_to_char() call sites; house entry, rent, and storage lifecycle output remains residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/house.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/interpreter.c act-send family	27	blocked	terminal-surface-audit-2026-09-04	src/interpreter.c:all	27 act()/send_to_char() call sites; dispatch, prompt, descriptor, and lifecycle messages are not one command family. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/interpreter.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/limits.c act-send family	22	blocked	terminal-surface-audit-2026-09-04	src/limits.c:all	22 act()/send_to_char() call sites; regeneration, hunger, thirst, and timed affect output remains residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/limits.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/luaedit.c act-send family	2	blocked	terminal-surface-audit-2026-09-04	src/luaedit.c:all	2 act()/send_to_char() call sites; web/admin replacement history does not prove the legacy descriptor path. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/luaedit.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/magic.c act-send family	61	blocked	terminal-surface-audit-2026-09-04	src/magic.c:all	61 act()/send_to_char() call sites; routine-specific spell messages and state branches remain residual beyond sampled object effects. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/magic.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/mail.c act-send family	11	blocked	terminal-surface-audit-2026-09-04	src/mail.c:all	11 act()/send_to_char() call sites; mail entry, reading, composition, and delivery output remains residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/mail.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/mapcode.c act-send family	2	blocked	terminal-surface-audit-2026-09-04	src/mapcode.c:all	2 act()/send_to_char() call sites; map rendering output needs an independent surface proof. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/mapcode.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/medit.c act-send family	33	blocked	terminal-surface-audit-2026-09-04	src/medit.c:all	33 act()/send_to_char() call sites; interactive MEDIT is a reachable immortal command surface and remains blocked by the OLC state-machine gap. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/medit.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/mobact.c act-send family	9	blocked	terminal-surface-audit-2026-09-04	src/mobact.c:all	9 act()/send_to_char() call sites; autonomous pulse ordering and shared output require deeper topology proof. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/mobact.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/mobprog.c act-send family	46	blocked	terminal-surface-audit-2026-09-04	src/mobprog.c:all	46 act() call sites; script-triggered output and trigger ordering remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/mobprog.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/modify.c act-send family	40	blocked	terminal-surface-audit-2026-09-04	src/modify.c:all	40 send_to_char() call sites; descriptor editor prompts and abort/save branches remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/modify.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/new_cmds.c act-send family	204	blocked	terminal-surface-audit-2026-09-04	src/new_cmds.c:all	204 act()/send_to_char() call sites; skill and utility command families are only partially represented by focused rows. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/new_cmds.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/new_cmds2.c act-send family	80	blocked	terminal-surface-audit-2026-09-04	src/new_cmds2.c:all	80 act()/send_to_char() call sites; secondary skills and state/audience branches remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/new_cmds2.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/objsave.c act-send family	19	blocked	terminal-surface-audit-2026-09-04	src/objsave.c:all	19 act()/send_to_char() call sites; rent serialization and recovery output require round-trip proof. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/objsave.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/oc.c act-send family	2	blocked	terminal-surface-audit-2026-09-04	src/oc.c:all	2 send_to_char() call sites; object control output remains residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/oc.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/oedit.c act-send family	73	blocked	terminal-surface-audit-2026-09-04	src/oedit.c:all	73 send_to_char() call sites; interactive OEDIT is an immortal-visible descriptor surface, not excluded. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/oedit.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/olc.c act-send family	21	blocked	terminal-surface-audit-2026-09-04	src/olc.c:all	21 act()/send_to_char() call sites; shared OLC setup and descriptor transitions remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/olc.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/redit.c act-send family	35	blocked	terminal-surface-audit-2026-09-04	src/redit.c:all	35 send_to_char() call sites; interactive REDIT remains blocked by the missing Go OLC state machine. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/redit.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/scripts.c act-send family	2	blocked	terminal-surface-audit-2026-09-04	src/scripts.c:all	2 act() call sites; DG script-triggered output and room/object topology remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/scripts.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/sedit.c act-send family	40	blocked	terminal-surface-audit-2026-09-04	src/sedit.c:all	40 send_to_char() call sites; interactive SEDIT remains blocked by the missing Go OLC state machine. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/sedit.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/shop.c act-send family	22	blocked	terminal-surface-audit-2026-09-04	src/shop.c:all	22 act()/send_to_char() call sites; core shop listing, buy, sell, value, and transaction branches remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/shop.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/spec_procs.c act-send family	179	blocked	terminal-surface-audit-2026-09-04	src/spec_procs.c:all	179 act()/send_to_char() call sites; many procedures are proven, but this file-level residual includes shared and blocked branches. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/spec_procs.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/spec_procs2.c act-send family	129	blocked	terminal-surface-audit-2026-09-04	src/spec_procs2.c:all	129 act()/send_to_char() call sites; many procedures are proven, but pulse, shop, and shared residuals remain. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/spec_procs2.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/spec_procs3.c act-send family	73	blocked	terminal-surface-audit-2026-09-04	src/spec_procs3.c:all	73 act()/send_to_char() call sites; many procedures are proven, but remaining special and combat branches are not a blanket green. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/spec_procs3.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/spell_parser.c act-send family	79	blocked	terminal-surface-audit-2026-09-04	src/spell_parser.c:all	79 act()/send_to_char() call sites; parser gates are proven in places, while the full cast-vector matrix remains residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/spell_parser.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/spells.c act-send family	102	blocked	terminal-surface-audit-2026-09-04	src/spells.c:all	102 act()/send_to_char() call sites; manual spell implementations and audience/state variants remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/spells.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/tattoo.c act-send family	5	blocked	terminal-surface-audit-2026-09-04	src/tattoo.c:all	5 act()/send_to_char() call sites; tattoo-shop procedures are proven in parts, but player use-tattoo is not independently depth-proven. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/tattoo.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/tedit.c act-send family	7	blocked	terminal-surface-audit-2026-09-04	src/tedit.c:all	7 send_to_char() call sites; descriptor-driven text editing remains residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/tedit.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/utils.c act-send family	13	blocked	terminal-surface-audit-2026-09-04	src/utils.c:all	13 act()/send_to_char() call sites; shared helper diagnostics need owner-level call-path proof. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/utils.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/whod.c act-send family	10	blocked	terminal-surface-audit-2026-09-04	src/whod.c:all	10 send_to_char() call sites; WHOD mode and listing output remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/whod.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
activity-call-sites	src/zedit.c act-send family	50	blocked	terminal-surface-audit-2026-09-04	src/zedit.c:all	50 send_to_char() call sites; interactive ZEDIT remains an immortal-visible descriptor surface. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner activity-call-sites/src/zedit.c act-send family; no exclusion asserted (R1/R2/R4/R5e).
spell-matrix	CAST_SPELL player cast vector	299	blocked	terminal-surface-audit-2026-09-04	src/spell_parser.c:407-557,921-1120	Full TOP_SPELL_DEFINE 1..299 cast matrix; parser/gate samples are proven, but spell routine, message, state, and draw parity is not complete for every spell. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner spell-matrix/CAST_SPELL player cast vector; no exclusion asserted (R1/R2/R4/R5e).
spell-matrix	CAST_POTION quaff vector	299	blocked	terminal-surface-audit-2026-09-04	src/spell_parser.c:544-817; act.other.c:897-924	Full 1..299 potion matrix; single-effect samples and selected affect messages are proven, while multi-spell, RNG, and unsupported-entry behavior remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner spell-matrix/CAST_POTION quaff vector; no exclusion asserted (R1/R2/R4/R5e).
spell-matrix	CAST_SCROLL recite vector	299	blocked	terminal-surface-audit-2026-09-04	src/spell_parser.c:544-817; act.other.c:897-924	Full 1..299 scroll matrix; armor and targeted samples are proven, while multi-spell, RNG, and remaining routine/message branches remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner spell-matrix/CAST_SCROLL recite vector; no exclusion asserted (R1/R2/R4/R5e).
spell-matrix	CAST_WAND use vector	299	blocked	terminal-surface-audit-2026-09-04	src/spell_parser.c:544-817; act.other.c:908-968	Full 1..299 wand matrix; invisibility-wand behavior is proven, while the remaining spell/item combinations remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner spell-matrix/CAST_WAND use vector; no exclusion asserted (R1/R2/R4/R5e).
spell-matrix	CAST_STAFF use vector	299	blocked	terminal-surface-audit-2026-09-04	src/spell_parser.c:544-817; act.other.c:908-968	Full 1..299 staff matrix; sleep-staff behavior is proven, while the remaining spell/item combinations remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner spell-matrix/CAST_STAFF use vector; no exclusion asserted (R1/R2/R4/R5e).
fight-skill	lib/misc/messages skill-message corpus	82	blocked	terminal-surface-audit-2026-09-04	src/fight.c:1314-1480; lib/misc/messages	82 loaded message blocks are enumerated; focused combat/special proofs own samples, not the complete damage, save, posture, and audience matrix. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner fight-skill/lib/misc/messages skill-message corpus; no exclusion asserted (R1/R2/R4/R5e).
fight-skill	fight.c combat-round and death output	97	blocked	terminal-surface-audit-2026-09-04	src/fight.c:all	97 activity call sites plus round/death branches; shared combat and death transcript reds are explicitly retained as blocked owners. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner fight-skill/fight.c combat-round and death output; no exclusion asserted (R1/R2/R4/R5e).
fight-skill	new_cmds skill/action output	204	blocked	terminal-surface-audit-2026-09-04	src/new_cmds.c:all	204 activity call sites; existing skill rows are focused proofs, not a complete skill-message corpus. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner fight-skill/new_cmds skill/action output; no exclusion asserted (R1/R2/R4/R5e).
fight-skill	new_cmds2 skill/action output	80	blocked	terminal-surface-audit-2026-09-04	src/new_cmds2.c:all	80 activity call sites; secondary skill and audience variants remain residual. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner fight-skill/new_cmds2 skill/action output; no exclusion asserted (R1/R2/R4/R5e).
lifecycle	death cycle and corpse teardown	1	blocked	terminal-surface-audit-2026-09-04	src/fight.c:1898-2032; src/handler.c; src/objsave.c	Perform-violence death, raw-kill extraction, corpse loot, prompt/menu, and combat teardown require an end-to-end state proof. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner lifecycle/death cycle and corpse teardown; no exclusion asserted (R1/R2/R4/R5e).
lifecycle	rent and house lifecycle	1	blocked	terminal-surface-audit-2026-09-04	src/house.c; src/objsave.c; src/interpreter.c:646,2226-2227	Rent entry, charge/loss branches, house storage, and reconnect behavior require round-trip evidence. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner lifecycle/rent and house lifecycle; no exclusion asserted (R1/R2/R4/R5e).
lifecycle	player save/load round-trip	2	blocked	terminal-surface-audit-2026-09-04	src/db.c; src/objsave.c; src/interpreter.c	Save and load bytes/state must be tested through the durable format and reconnect path; this inventory does not authorize changing that format. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner lifecycle/player save/load round-trip; no exclusion asserted (R1/R2/R4/R5e).
lifecycle	regeneration hunger thirst pulses	1	blocked	terminal-surface-audit-2026-09-04	src/limits.c	Timed resource decay and recovery output/state remain outside command-table proofs. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner lifecycle/regeneration hunger thirst pulses; no exclusion asserted (R1/R2/R4/R5e).
lifecycle	weather and time pulses	1	blocked	terminal-surface-audit-2026-09-04	src/weather.c; src/act.wizard.c:3490-3510	Weather/time progression, rendered output, and clock/draw dependencies require a dedicated frozen-time vehicle. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner lifecycle/weather and time pulses; no exclusion asserted (R1/R2/R4/R5e).
lifecycle	mobile room object pulse order	3	blocked	terminal-surface-audit-2026-09-04	src/mobact.c; src/comm.c:690-756; src/objects.c	Pulse order and early-return topology are only partially ported; the jail commandless path is blocked rather than excluded. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner lifecycle/mobile room object pulse order; no exclusion asserted (R1/R2/R4/R5e).
lifecycle	descriptor link prompt lifecycle	1	blocked	terminal-surface-audit-2026-09-04	src/comm.c; src/interpreter.c	Connect, disconnect, prompt, and reconnect output/state remain residual lifecycle surface. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner lifecycle/descriptor link prompt lifecycle; no exclusion asserted (R1/R2/R4/R5e).
shops	core shop transaction surface	1	blocked	terminal-surface-audit-2026-09-04	src/shop.c; src/act.comm.c; src/interpreter.c	List, buy, sell, value, keeper gates, gold/object state, and room audiences need complete shop proof. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner shops/core shop transaction surface; no exclusion asserted (R1/R2/R4/R5e).
shops	special-procedure shop surface	1	blocked	terminal-surface-audit-2026-09-04	src/spec_procs.c; src/spec_procs2.c; src/spec_assign.c	Tattoo, pet, banker, and other registered shop procedures are only partially covered by focused special manifests. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner shops/special-procedure shop surface; no exclusion asserted (R1/R2/R4/R5e).
shops	rent and storage shop-adjacent surface	1	blocked	terminal-surface-audit-2026-09-04	src/house.c; src/objsave.c	Rent/storage prices, object persistence, and failure messages are lifecycle-owned and remain unproven here. Terminal audit 2026-09-04: C scope enumerated in source order; focused proofs cover only the named subset. Residual surface remains blocked pending owner shops/rent and storage shop-adjacent surface; no exclusion asserted (R1/R2/R4/R5e).
