# Generated by cmd/dp-command-gates; do not edit by hand.
# Regenerate: go run ./cmd/dp-command-gates -oracle /path/to/darkpawns-c-oracle/src/interpreter.c
# seq<TAB>name<TAB>minimum level  (rows are in cmd_info[] SOURCE ORDER, law R2d)
302	report	0
303	raise	0
304	read	0
305	reel	0
306	reload	39
307	recite	0
308	recharge	0
309	recall	0
310	receive	1
311	remove	0
312	remort	0
313	ren	0
314	rent	1
315	reply	0
316	.	0
317	reroll	38
318	rescue	1
319	restore	33
320	retreat	0
321	retrieve	1
322	retsu	0
323	return	0
324	redit	31
325	reallyquit	0
326	review	0
327	ride	0
328	rin	0
329	rlist	31
330	roar	0
331	rofl	0
332	roll	0
333	roomflags	31
334	rsay	0
335	ruffle	0
336	say	0
337	'	0
338	save	0
339	salute	0
340	score	0
341	scoff	0
342	scout	0
343	scream	0
344	scratch	0
345	scrounge	0
346	sell	0
347	send	34
348	set	34
349	sethunt	38
350	sedit	31
351	serpent	1
352	sha	0
353	shadow	0
354	shame	0
355	shishkabob	0
356	shout	0
357	shake	0
358	sharpen	0
359	shiver	0
360	show	31
361	shoot	0
362	shrug	0
363	shudder	0
364	shutdow	39
365	shutdown	39
366	sigh	0
367	sing	0
368	sip	0
369	sit	0
370	skillset	38
371	sleep	0
372	sleeper	0
373	slap	0
374	slowns	39
375	slug	1
376	smile	0
377	smackheads	1
378	smell	0
379	smirk	0
380	sneeze	0
381	sneer	0
382	snicker	0
383	snap	0
384	snarl	0
385	sneak	1
386	sniff	0
387	snore	0
388	snowball	31
389	snoop	34
390	snuggle	0
391	socials	0
392	split	1
393	spackle	0
394	spank	0
395	spew	0
396	spike	0
397	spit	0
398	squeeze	0
399	stand	0
400	stake	0
401	stable	0
402	stare	0
403	startle	0
404	stat	31
405	steal	1
406	stealth	1
407	steam	0
408	stimpy	0
409	stretch	0
410	strike	1
411	string	32
412	stroke	0
413	strut	0
414	subdue	0
415	sulk	0
416	sweat	0
417	switch	32
418	sysfile	34
419	syslog	31
420	tell	0
421	tackle	0
422	tag	0
423	take	0
424	tango	0
425	tap	0
426	taunt	0
427	taste	0
428	teleport	34
429	tedit	38
430	thank	0
431	think	0
432	thpbt	0
433	thaw	38
434	threaten	0
435	throttle	0
436	thumbsup	0
437	thunk	0
438	title	0
439	tick	39
440	tickle	0
441	tiger	0
442	tilt	0
443	time	0
444	toggle	0
445	todo	33
446	toh	0
447	track	0
448	trip	1
449	transfer	32
450	transform	1
451	tug	0
452	turn	0
453	twiddle	0
454	typo	0
455	unlock	0
456	ungroup	0
457	unban	38
458	unaffect	34
459	uptime	31
460	use	1
461	users	31
462	value	0
463	version	0
464	violate	0
465	visible	1
466	vnum	31
467	vstat	31
468	wake	0
469	waltz	0
470	wave	0
471	wear	0
472	weather	0
473	wedgie	0
474	wee	0
475	weep	0
476	who	0
477	whap	0
478	whimper	0
479	whoami	0
480	whod	31
481	whois	0
482	where	31
483	whisper	0
484	whine	0
485	whistle	0
486	wield	0
487	will	1
488	wiggle	0
489	wimpy	0
490	wink	0
491	withdraw	1
492	wiznet	0
493	;	0
494	wizhelp	31
495	wizlist	0
496	wizlock	39
497	wnewbie	31
498	worship	0
499	write	1
500	yank	0
501	yawn	0
502	yodel	0
503	yuball	0
504	zai	0
505	zhen	0
506	zedit	31
507	zlist	31
508	zreset	31
